rule,key,question,section,prediction,answer,hit,options
choose_unique_example,2022.06.set1,2,A,C,B,False,A: They are interested in fairy tales | B: They are curious and autonomous | C: They are a headache to their parents | D: They are ignorant of politics
choose_unique_future,2022.06.set1,20,C,B,B,True,A: Their differences are likely to impact productivity | B: Their similarity is conducive to future collaboration | C: Their connections strengthen with the passage of time | D: Their mutual understanding stems from a common goal
choose_unique_cause,2022.06.set1,20,C,D,B,False,A: Their differences are likely to impact productivity | B: Their similarity is conducive to future collaboration | C: Their connections strengthen with the passage of time | D: Their mutual understanding stems from a common goal
choose_unique_moderate,2022.06.set1,20,C,A,B,False,A: Their differences are likely to impact productivity | B: Their similarity is conducive to future collaboration | C: Their connections strengthen with the passage of time | D: Their mutual understanding stems from a common goal
choose_unique_comparison,2022.06.set1,24,C,D,D,True,A: They count on others to take the responsibility | B: They change their investment strategy in time | C: They think they themselves are to blame | D: They persist rather than get discouraged
choose_unique_advice_plan,2022.06.set1,24,C,A,D,False,A: They count on others to take the responsibility | B: They change their investment strategy in time | C: They think they themselves are to blame | D: They persist rather than get discouraged
choose_unique_advice_plan,2022.06.set1,25,C,B,B,True,A: They do not resist novel lifestyles | B: They do not try to keep up with others | C: They do not care what they have acquired | D: They do not pressure themselves to get rich
choose_unique_comparison,2022.09.set1,1,A,A,C,False,A: It enables people to earn more money | B: It teaches the importance of financing | C: It helps people with budgeting | D: It introduces a novel way to invest
choose_unique_negation,2022.09.set1,3,A,D,A,False,A: Keep track of his money | B: Live within his means | C: Find more sources of income | D: Refrain from buying luxuries
choose_unique_comparison,2022.09.set1,3,A,C,A,False,A: Keep track of his money | B: Live within his means | C: Find more sources of income | D: Refrain from buying luxuries
choose_unique_negation,2022.09.set1,4,A,B,B,True,A: It offers a greater variety of items | B: It helps avoid unnecessary spending | C: It changes one's way of living | D: It saves one's time for shopping
choose_unique_comparison,2022.09.set1,7,A,D,B,False,A: Talk to his wife about the contract terms | B: Pay the first month's rent and a deposit | C: Check the references of the flat owner | D: Consult his solicitor one more time
choose_unique_example,2022.09.set1,9,B,D,D,True,"A: The more commercials they see, the more brands they get to know | B: The more commercials they see, the more they adore celebrities | C: The more television they watch, the fewer conflicts in the family | D: The more television they watch, the greater their parents' stress"
choose_unique_negation,2022.09.set1,11,B,D,A,False,A: Their limited cognitive ability | B: Their strong natural curiosity | C: Their admiration for celebrities | D: Their lack of social experience
choose_unique_absolute,2022.09.set1,12,B,C,D,False,A: Bad guys may do good deeds | B: Bad guys may go unpunished | C: Good guys may not always cooperate | D: Good guys may get unfair treatment
choose_unique_negation,2022.09.set1,12,B,C,D,False,A: Bad guys may do good deeds | B: Bad guys may go unpunished | C: Good guys may not always cooperate | D: Good guys may get unfair treatment
choose_unique_advice_plan,2022.09.set1,12,B,C,D,False,A: Bad guys may do good deeds | B: Bad guys may go unpunished | C: Good guys may not always cooperate | D: Good guys may get unfair treatment
choose_unique_extreme_bad,2022.09.set1,12,B,C,D,False,A: Bad guys may do good deeds | B: Bad guys may go unpunished | C: Good guys may not always cooperate | D: Good guys may get unfair treatment
choose_unique_advice_plan,2022.09.set1,14,B,C,B,False,A: Learn from them earnestly | B: Compete with them actively | C: Leave them alone temporarily | D: Cooperate with them sincerely
choose_unique_future,2022.09.set1,19,C,C,B,False,A: They regard it as a matter of sheer privacy | B: They are worried about being turned down | C: They fear that their condition will be made widely known | D: They are afraid to be discriminated against once recruited
choose_unique_absolute,2022.09.set1,21,C,B,D,False,A: Describe the true state of their health | B: Provide all the information required | C: Stress the irrelevance of their disability to the job | D: Avoid mentioning the name of their disability
choose_unique_extreme_bad,2022.09.set1,21,C,B,D,False,A: Describe the true state of their health | B: Provide all the information required | C: Stress the irrelevance of their disability to the job | D: Avoid mentioning the name of their disability
choose_unique_absolute,2022.09.set1,25,C,A,B,False,A: Sociable people were immune to all distractions | B: Shy quiet people were most adversely impacted | C: Less outgoing people were more affected by silence | D: Confident people were unaffected by high-arousal music
choose_unique_extreme_bad,2022.09.set1,25,C,A,B,False,A: Sociable people were immune to all distractions | B: Shy quiet people were most adversely impacted | C: Less outgoing people were more affected by silence | D: Confident people were unaffected by high-arousal music
opposition_choose_more,2022.09.set1,25,C,C,B,False,A: Sociable people were immune to all distractions | B: Shy quiet people were most adversely impacted | C: Less outgoing people were more affected by silence | D: Confident people were unaffected by high-arousal music
opposition_choose_less,2022.09.set1,25,C,C,B,False,A: Sociable people were immune to all distractions | B: Shy quiet people were most adversely impacted | C: Less outgoing people were more affected by silence | D: Confident people were unaffected by high-arousal music
choose_unique_advice_plan,2022.12.set1,2,A,B,B,True,A: He lent many books to the man for reference | B: He offered the man advice on resource hunting | C: He published a lot in a number of reputable journals | D: He told the man to be selective when using e-resources
choose_unique_research,2022.12.set1,4,A,A,D,False,A: Change her research methodology | B: Narrow down her dissertation topic | C: Consult her professor more | D: Follow the man's advice
A_last_choose_plan_future,2022.12.set1,4,A,D,D,True,A: Change her research methodology | B: Narrow down her dissertation topic | C: Consult her professor more | D: Follow the man's advice
A_last_choose_plan_future,2022.12.set1,8,A,C,B,False,A: Switch to a vegetarian diet | B: Follow a personalized diet | C: Adhere to doctors' advice | D: Cut carbohydrate intake
choose_unique_future,2022.12.set1,10,B,A,A,True,A: To avoid them in the future | B: To warn others against them | C: To make good sense of them | D: To reflect on their causes
choose_unique_cause,2022.12.set1,10,B,D,A,False,A: To avoid them in the future | B: To warn others against them | C: To make good sense of them | D: To reflect on their causes
choose_unique_cause,2022.12.set1,13,B,D,D,True,A: Their leadership may be challenged | B: Their companies may go bankrupt | C: Unexpected events may occur | D: Major problems may result
choose_unique_moderate,2022.12.set1,14,B,C,B,False,A: Keep an eye on their employees | B: Motivate and inspire their team | C: Sacrifice some of the immediate goals | D: Have greater ambition in overall planning
choose_unique_research,2022.12.set1,16,C,B,D,False,A: The key to increasing healthy food supply | B: The best way to improve marketing research | C: The impact of advertisements on consumption | D: The importance of the appearance of food
opposition_choose_more,2022.12.set1,20,C,A,A,True,A: Consumers now know much more about technology | B: Their mass production has sharply reduced the price | C: Consumers tend to favor all that is novel | D: Their quality has been greatly improved
opposition_choose_less,2022.12.set1,20,C,B,A,False,A: Consumers now know much more about technology | B: Their mass production has sharply reduced the price | C: Consumers tend to favor all that is novel | D: Their quality has been greatly improved
choose_unique_cause,2022.12.set2,9,B,B,A,False,A: It is vital to one's mental health | B: It leads to reconciliation and peace | C: It promotes interpersonal relationship | D: It keeps one from traumatic experience
choose_unique_cause,2022.12.set2,20,C,A,D,False,A: They often lead to war between religious groups | B: They keep certain occupations from thriving | C: They allow myths and half-truths to persist | D: They prevent us from getting to the truth
choose_unique_example,2023.03.set1,21,C,A,C,False,A: Living with one's children | B: Meeting social expectations | C: Meaningful social contact | D: Timely medical intervention
choose_unique_example,2023.06.set1,4,A,B,A,False,A: Go to see the woman's apartment | B: Make a phone call to his parents | C: Buy some furniture for the woman | D: Decorate the woman's apartment
opposition_choose_more,2023.06.set2,11,B,A,B,False,A: Help them take up these sports when they are more mature | B: Let them participate in some less risky outdoor activities | C: Ask them to try some forms of indoor sports | D: Introduce them to these sports step by step
opposition_choose_less,2023.06.set2,11,B,B,B,True,A: Help them take up these sports when they are more mature | B: Let them participate in some less risky outdoor activities | C: Ask them to try some forms of indoor sports | D: Introduce them to these sports step by step
opposition_choose_more,2023.06.set2,14,B,C,A,False,A: Take the initiative to reduce electronic waste | B: Take due caution in upgrading their products | C: Invest in constructing more recycling facilities | D: Substitute all toxic substances with non-toxic ones
opposition_choose_less,2023.06.set2,14,B,A,A,True,A: Take the initiative to reduce electronic waste | B: Take due caution in upgrading their products | C: Invest in constructing more recycling facilities | D: Substitute all toxic substances with non-toxic ones
choose_unique_future,2023.06.set2,15,B,C,A,False,A: It can be solved | B: It is certain to worsen | C: It will be fixed by tech companies | D: It is unavoidable in the long run
choose_unique_research,2023.12.set1,9,B,B,D,False,A: When she started teaching at Edinburgh University in Scotland | B: While she was doing her doctoral studies on American Literature | C: After publishing her first novel Behind the Scenes at the Museum | D: After winning the 1986 Woman's Own Short Story Competition
B_first_choose_research_or_issue,2023.12.set1,9,B,B,D,False,A: When she started teaching at Edinburgh University in Scotland | B: While she was doing her doctoral studies on American Literature | C: After publishing her first novel Behind the Scenes at the Museum | D: After winning the 1986 Woman's Own Short Story Competition
choose_unique_research,2023.12.set1,16,C,B,A,False,A: What differentiates people from animals | B: Why philosophers disagree with scientists | C: Where humans' great cognitive capacity originates | D: When being creative becomes a biological mandate
opposition_choose_positive,2023.12.set1,21,C,B,B,True,A: It can ensure owners suffer fewer chronic diseases | B: It can benefit owners both physically and mentally | C: It can reduce owners' risk of getting cancer or diabetes | D: It can alert owners to the seriousness of their conditions
opposition_choose_negative,2023.12.set1,21,C,C,B,False,A: It can ensure owners suffer fewer chronic diseases | B: It can benefit owners both physically and mentally | C: It can reduce owners' risk of getting cancer or diabetes | D: It can alert owners to the seriousness of their conditions
choose_unique_future,2023.12.set1,24,C,B,C,False,"A: A high proportion of them haven't tried to save money | B: Most of them never hope to buy a house or to retire | C: Forty percent of them earn less than ￡25,000 a year | D: The majority of them have fairly well-paying jobs"
A_last_choose_plan_future,2023.12.set2,4,A,A,B,False,A: Having one's basic needs covered while away from home | B: Enjoying the freedom to choose where to go and work | C: Slowing down in one's increasingly hectic life | D: Riding one's mountain bike on vacation
choose_unique_research,2023.12.set2,12,B,D,B,False,A: Eliminating their root cause | B: Forecasting flood risks accurately | C: Identifying the cities' geological features | D: Finding out the changing climate patterns
B_first_choose_research_or_issue,2023.12.set2,12,B,D,B,False,A: Eliminating their root cause | B: Forecasting flood risks accurately | C: Identifying the cities' geological features | D: Finding out the changing climate patterns
opposition_choose_more,2023.12.set2,18,C,C,D,False,A: Men's unwillingness to accept low wages in times of growing inflation | B: The wage gap between those with college degrees and those without | C: More jobs requiring their holders to have a college degree nowadays | D: The sharp decline in marriage among men with no college degrees
opposition_choose_less,2023.12.set2,18,C,D,D,True,A: Men's unwillingness to accept low wages in times of growing inflation | B: The wage gap between those with college degrees and those without | C: More jobs requiring their holders to have a college degree nowadays | D: The sharp decline in marriage among men with no college degrees
B_first_choose_research_or_issue,2024.06.set1,9,B,D,A,False,A: Whether consumers should be warned against ultra-processed foods | B: Whether there is sufficient scientific consensus on dietary guidelines | C: Whether guidelines can form the basis for nutrition advice to consumers | D: Whether food scientists will agree on the concept of ultra-processed foods
C_late_choose_abstract_summary,2024.06.set2,21,C,A,C,False,A: The meaning of motherhood has changed considerably | B: More and more mothers go shopping to treat themselves | C: More mothers have adult children celebrating the holiday | D: The number of American mothers has been growing steadily
A_last_choose_plan_future,2025.06.set1,4,A,D,A,False,A: Whether the contents have been backed up | B: Whether they can find help somewhere else | C: Whether all data stored on the hard drive has got lost | D: Whether they need to wipe the system directories clean
opposition_choose_positive,2025.06.set1,14,B,D,B,False,A: It alters the structure of work | B: It puts jobs and wages at risk | C: It liberates people from tedious and laborious work | D: It creates new work opportunities in the IT industry
opposition_choose_negative,2025.06.set1,14,B,B,B,True,A: It alters the structure of work | B: It puts jobs and wages at risk | C: It liberates people from tedious and laborious work | D: It creates new work opportunities in the IT industry
A_last_choose_plan_future,2025.06.set2,4,A,C,D,False,A: Compare the candidates side by side again | B: Ask the board to cast the deciding vote | C: Find a way to break the tie next time | D: Let John make the final decision
opposition_choose_positive,2025.12.set2,11,B,B,A,False,A: They are less likely to choose a vegetarian dish | B: They find vegetarian dishes become more appealing | C: They tend to consume larger portions of unhealthy food | D: They are less likely to choose dishes recommended by chefs
opposition_choose_negative,2025.12.set2,11,B,C,A,False,A: They are less likely to choose a vegetarian dish | B: They find vegetarian dishes become more appealing | C: They tend to consume larger portions of unhealthy food | D: They are less likely to choose dishes recommended by chefs
B_first_choose_research_or_issue,2025.12.set2,12,B,A,C,False,A: They have found a solution to the global problem of air pollution | B: They have managed to freeze polluting particles to around -18℃ | C: They have been seeking a way to prevent pollutants from penetrating indoors | D: They have been cooperating closely on developing a new type of air-conditioner
