key,question,section,option_A,option_B,option_C,option_D,answer,answer_source,answer_confidence,transcript_parse_file,transcript_unit,transcript_snippet,explanation_source,explanation_snippet,status,notes
2022.06.set1,11,B,Dispense with experimental testing,Predict whether compounds are toxic,Foresee human reaction to antibiotics,Combat bacteria's resistance to antibiotics,B,full_closure_audit,high,2022.06英语六级考试解析第1套.pdf,Passage Questions 9-11,"ly and slow. Artificial intelligence is different. It's fast, and it can process a high volume. It can screen hundreds of millions of compounds to identify a few interesting candidates that require experimental testing. (11)Artificial intelligence is also able to predict if compounds are likely to be toxic. Some experts assert that this work signifies a paradigm shift in antibiotic discovery. It could change drug discovery: more generally.",full_closure_audit,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.,closed,
2022.06.set1,12,B,By theorization,By generalization,By observation,By conversation,C,full_closure_audit,high,2022.06英语六级考试解析第1套.pdf,Passage Questions 12-15,"Questions 12 to 15 are based on the passage you have just heard. A recent study overturned what we think we know about lying. (12-1)Most of us have a theory about how to tell if someone is telling a lie. We may develop that theory from observations of those people we know well and see regularly, but we tend to generalize what we gather from that unscientific daily research and make it a universal theory. So we might imagine that liars have evasive eyes, or the oppositethey simply stare at you. Or perhaps it is more generally nervous behavior we a",full_closure_audit,"manual_audit: explanation says most people detect lying by observing people they know and then generalizing; option C, observation, matches the direct answer.",closed,multiple_markers=2
2022.06.set1,13,B,They are easy to detect,They are well intended,They are groundless,They are harmless,D,full_closure_audit,high,2022.06英语六级考试解析第1套.pdf,Passage Questions 12-15,"mply stare at you. Or perhaps it is more generally nervous behavior we associate with lies. (12-2) Whatever the particular theory, it's usually based on close observation of people we know.. And we get lots of practice. (13)On average, we're lied to some 200 times per day. These are mostly harmless lies, but lies nonetheless. But there's a problem with our theories, even though they're based on all these observations. (14) The average person-you and me tested rigorously on how well we detect lies fails to do better than chance. That's well established over many studies and lots of attempts by researchers to work out reliable ways to det",2022.06英语六级考试解析第1套.pdf,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.,closed,
2022.06.set1,14,B,Mostly by chance,Basically objective,Subject to their mental alertness,Dependent on their analytical ability,A,2022.06英语六级考试解析第1套.page-04.columns.txt,high,2022.06英语六级考试解析第1套.pdf,Passage Questions 12-15,"lots of practice. (13)On average, we're lied to some 200 times per day. These are mostly harmless lies, but lies nonetheless. But there's a problem with our theories, even though they're based on all these observations. (14) The average person-you and me tested rigorously on how well we detect lies fails to do better than chance. That's well established over many studies and lots of attempts by researchers to work out reliable ways to detect lies. It's even relatively easy to fool lie detectors, the gold standard of lie detection, by training yourself in breathing techniques and symptom suppression. Is there any way to get better at det",2022.06英语六级考试解析第1套.pdf,14. What have many studies uncovered about the average person's lie detection? A）【精析】细节推断题。句(14)中提到，如果对像你 和我这样的普通人进行严格的辨别谎言的测试， 我们做得不比凑巧得出的结果好多少。许多为找 出可靠的谎言检测方法所做的研究和为此进行了 大量尝试的研究人员都可以充分证实这一结果。 也就是说，普通人对于谎言的辨别也不过是凑巧 而已。因此答案为A）。,closed,
2022.06.set1,15,B,Looking the speaker in the eye,Listening carefully to the speaker,Measuring the speaker's breathing rate,Focusing on the speaker's facial expressions,B,2022.06英语六级考试解析第1套.page-04.columns.txt,high,2022.06英语六级考试解析第1套.pdf,Passage Questions 12-15,"lie detectors, the gold standard of lie detection, by training yourself in breathing techniques and symptom suppression. Is there any way to get better at detecting lies? The new research offers some surprising advice. (15) Stop looking and listen instead. It turns out that if we're unable to see the face, but rather focus on the voice of the person in question, our accuracy rate improves considerably.",2022.06英语六级考试解析第1套.pdf,"15. What advice does the new research offer regarding lie detection? 【精析】细节辨认题。短文临近结尾处，明确指出 B)[ 有一项新研究提供了一些关于辨别谎言的建议。 根据句（15）可知，该建议就是：不要使用视觉，而 应该使用听觉。因此答案为B)。 A recent study overturned what we think we know about lying. (12-1)Most of us have a theory about how to tell if someone is telling a lie. We may develop that theory from observations of those people we know well and see regularly, but we te",closed,
2022.06.set1,16,C,They don't treat patients with due respect,They witness a lot of doctor-patient conflicts,They have to deal with social workers9 strikes,They don't care how much patients have to pay,A,2022.06英语六级考试解析第1套.page-05.columns.txt,high,2022.06英语六级考试解析第1套.pdf,Recording Questions 16-18,"omes into your room, even if the visit is brief and useless. Don't challenge anyone with authority unless you are famous or very rich. Those are 'a few strategies for dealing with today's American medical establishment. (16) What patients want is to be treated with respect and consideration. But in my experience, too few hospitals and doctors are ready to do that. In his book, A Whole New Life, novelist Reynolds Price recalls that his doctors chose a crowded hallway as the place to'tell him he might have a tumor on his spinal cord. It did not occur to the two 六级2022年6月26 physicians that a hallway was not the most appropriate place for",2022.06英语六级考试解析第1套.pdf,"16. What does the speaker say .about most American hospitals? A）【精析】细节推断题。讲话者在讲座开头提供了一 些应对当今美国医疗机构的策略。在句（16)中， 讲话者提到，患者希望得到尊重和体谅。但根据 她的经验，很少有医院或医生愿意这样做。也就 是说,在美国，大多数医院和医生都对患者不够尊 重和体谅。因此答案为A)。",closed,
2022.06.set1,17,C,Appear submissive and grateful to doctors and nurses,Express a strong desire to be consulted or informed,Refrain from saying anything that sounds negative,Note down the names of all the doctors and nurses,D,2022.06英语六级考试解析第1套.page-05.columns.txt,high,2022.06英语六级考试解析第1套.pdf,Recording Questions 16-18,"she mercifully intervenes on my behalf and arranges for me to be transferred to another hospital. ""If you say one negative thing, they get defensive,"" she tells me later. “""They have this kind of institutional loyalty. (17)Always bring an advocate, that is, any other person with you to the hospital, and write down every single question and the answer, the name of every doctor and nurse. When people know you have their names, they behave better. And,"" Brudney adds, “if you, as a patient, suggest that you might like to control even part of the situation or be consulted or informed, then you are considered difficult. (18)They want you to",2022.06英语六级考试解析第1套.pdf,17. What does Karen Brudney suggest patients do? D）【精析】细节辨认题。讲座中，讲话者提到了凯 伦·布鲁特妮对她说的话，根据句(17)可知，在医 Questions 19'to 21 are based on the recording you have just heard. stay connected even after the team breaks up. members are obliged to share the workload and help out. 六级2022年6月 院的时候，身边有人陪同十分重要，这位随同人员 应该随时记录下每个问题和答案，以及每位医生一 和护士的名字，以此来让医生和护士们有所顾忌， 从而有更好的表现。因此答案为D)。,closed,
2022.06.set1,18,C,Cooperative,Appreciative,Passive,Responsive,C,2022.06英语六级考试解析第1套.page-05.columns.txt,high,2022.06英语六级考试解析第1套.pdf,Recording Questions 16-18,"know you have their names, they behave better. And,"" Brudney adds, “if you, as a patient, suggest that you might like to control even part of the situation or be consulted or informed, then you are considered difficult. (18)They want you to be totally passive. The entire health care 'system, particularly hospitals and nursing homes, exists for reasons that have nothing to do with taking care of patients. Patients are incidental. """,2022.06英语六级考试解析第1套.pdf,"18. What do American doctors expect their patients to be, according to Karen Brudney? 【精析】细节辨认题。讲话者借助凯伦·布鲁特妮 C) 的话，表明了美国医护人员对待患者的态度。根 据句(18)可知，他们希望患者是完全被动的。因 此答案为 C)。 127 There are probably teams you've worked with but you never want to work with again. But there must have also been other teams that you would prize reuniting with professionally. In other words, your team had vitality. (i9)Vitality",closed,
2022.06.set1,19,C,Its members work together despite risks of failure,It prioritizes recruiting young energetic members,Its members stay in touch even after it breaks up,It grows more and more mature professionally,C,2022.06英语六级考试解析第1套.page-06.columns.txt,high,2022.06英语六级考试解析第1套.pdf,Recording Questions 19-21,"d. There are probably teams you've worked with but you never want to work with again. But there must have also been other teams that you would prize reuniting with professionally. In other words, your team had vitality. (i9)Vitality comes about when the ties people form with their fellow team members are such that they stay connected even after the team breaks up. What characteristics of a 'team make its members more likely to stay in contact despite no longer working together? This question has been answered recently in a study published in a business journal.. One of the two key factors the research team discovered is sameness. Specif",2022.06英语六级考试解析第1套.pdf,19. What does the speaker say about a team with vitality? 【精析】细节推断题。根据句（19)可知，当人们与 其他团队成员形成的联系使得他们即使在团队解 散后也能保持联系时，活力便会产生。也就是说， 有活力的团队，其成员在团队解散后也会保持联 系。因此答案为C)。,closed,
2022.06.set1,20,C,Their differences are likely to impact productivity,Their similarity is conducive to future collaboration,Their connections strengthen with the passage of time,Their mutual understanding stems from a common goal,B,2022.06英语六级考试解析第1套.page-06.columns.txt,high,2022.06英语六级考试解析第1套.pdf,Recording Questions 19-21,"ogether? This question has been answered recently in a study published in a business journal.. One of the two key factors the research team discovered is sameness. Specifically, sharing the same gender or ethnic origin. (20)The more members of a team share similar demographics, the more inclined they will be to remain associates long after the team has served its purpose. After ties are established, similarity strengthens them. As a result, they regard these individuals with greater trust and mutual understanding, which motivates them to seek further opportunities for collaboration. In effect, people tend to create stronger and longer-l",2022.06英语六级考试解析第1套.pdf,"20. What do the researchers find out about members of a team? B）【精析】细节推断题。根据句(20)可知，团队中拥 有相似人口统计特征的成员越多，他们就越有可 能在团队实现其目标后很长一段时间内保持联 系。联系形成后，相似性会将其强化。于是，他们 Questions 22 to 25 are based on the recording you have just heard. your income and living off the remaining 80%. "" 答案详解",closed,
2022.06.set1,21,C,It is characterized by diversity,Its goals are quite inconsistent,Its members have similar backgrounds,It is connected by a unique mechanism,A,2022.06英语六级考试解析第1套.page-06.columns.txt,high,2022.06英语六级考试解析第1套.pdf,Recording Questions 19-21,"ee both the truth and the inconsistency of such studies. The truth is some of my closest friendships were formed as a result of having worked together on teams, and I actively seek opportunities to work with them again. (21) The inconsistency, though, is that I've never worked for a team more successful and cohesive than the one of which I am a member right now. And yet, the four of us have very little in common and are completely different demographically. So I am unlikely to question the value of a diverse workforce.",2022.06英语六级考试解析第1套.pdf,21. What do we learn about the team the speaker is currently working in? A）【精析】细节推断题。根据句（21)可知，讲话者所 在团队中的四个成员从人口统计角度上来说各不 相同，但这个团队却是他所经历过的最成功、最有 凝聚力的团队。讲话者不会质疑员工多样性的价 值。由此可见，讲话者目前所在团队的最大特点 就是多样性。因此答案为A）。,closed,
2022.06.set1,22,C,Putting aside twenty percent of one's earnings,Spending in anticipation of becoming wealthy,Living off a small proportion of one's income,Saving as much as one can possibly manage,A,full_closure_audit,high,2022.06英语六级考试解析第1套.pdf,Recording Questions 22-25,"s and social indifference. Being thrifty comes as no great surprise. Spending above your means, spending instead of saving for retirement, spending in anticipation of becoming wealthy, makes you a slave to the paycheck. (22)""Even with an astronomical level of income,"" she wrote, “""to properly build wealth, experts recommend saving 20% of your income and living off the remaining 80%. "" Having confidence is another key characteristic, as it helps people to be thrifty. (23)It takes confidence to live within your means. It also takes confidence to invest properly. Instead of making investing decisions with your emotions, financial planners",full_closure_audit,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.,closed,
2022.06.set1,23,C,It empowers them to cope with irrational emotions,It will guarantee the profits from their investments,It will turn them into successful financial planners,It enables them to focus on long-term investments,D,2022.06英语六级考试解析第1套.page-06.columns.txt,high,2022.06英语六级考试解析第1套.pdf,Recording Questions 22-25,"level of income,"" she wrote, “""to properly build wealth, experts recommend saving 20% of your income and living off the remaining 80%. "" Having confidence is another key characteristic, as it helps people to be thrifty. (23)It takes confidence to live within your means. It also takes confidence to invest properly. Instead of making investing decisions with your emotions, financial planners advise that you should leave your investments alone and focus on a long-term investment plan. But people can't invest or manage their own money without accepting responsibility for the didn't acquire their wealth through luck. (24) Millionaires don't",2022.06英语六级考试解析第1套.pdf,"23. How does confidence help people to be thrifty? D）【精析】细节推断题。讲座中说，信心有助于人们 节约。根据句(23)可知，量人为出需要信心，合理 投资也需要信心。理财规划师建议；不要凭感情 做出投资决策，而应该减少对投资的干扰，专注于 长期投资计划。也就是说，信心会让人们专注于 28 An American researcher who studied 6o0 millionaires found how rich you can get comes down to six wealth factors.. She found that six behaviors are related to net worth potential, regardless of age or income. These were thriftines",closed,
2022.06.set1,24,C,They count on others to take the responsibility,They change their investment strategy in time,They think they themselves are to blame,They persist rather than get discouraged,D,2022.06英语六级考试解析第1套.page-07.columns.txt,high,2022.06英语六级考试解析第1套.pdf,Recording Questions 22-25,"that you should leave your investments alone and focus on a long-term investment plan. But people can't invest or manage their own money without accepting responsibility for the didn't acquire their wealth through luck. (24) Millionaires don't count on anyone else to make them rich, and they don't blame anyone else if they fall short. They focus on things they can control and align their daily habits to the goals they have set for themselves. They tend to be goal-oriented and hard workers, which enables them to plan financially and focus on seeing those plans through. 92% of the millionaires surveyed developed a long- term plan for thei",2022.06英语六级考试解析第1套.page-07.columns.txt,"24. How do millionaires react when they fail in their investment? D）【精析】细节辨认题。句（24)中提到，百万富翁不 会指望别人让他们富有，如果他们自已做不到，也 不会责怪任何人。他们专注于自已可以控制的事 情，并将日常习惯与自已设定的目标保持一致。 他们往往以目标为导向，努力工作，这使得他们能 够制订财务计划，并专注于完成这些计划。也就 Part II Reading Comprehension Section A Historyof Bathing inBath”（《巴斯浴场简史》）的文章。 【结构框图】 第1段讲述巴斯这座城市因为巴斯浴场而闻名。 第2段提到巴斯温泉的地理位置。 本文主要介绍了巴斯浴场 的历史及现状。 第3段讲述了巴斯浴场的一些神奇的传说。 第4段介绍了巴斯浴场的现状。 【词性分析】 走,潜行 的，先",closed,
2022.06.set1,25,C,They do not resist novel lifestyles,They do not try to keep up with others,They do not care what they have acquired,They do not pressure themselves to get rich,B,2022.06英语六级考试解析第1套.page-07.columns.txt,high,2022.06英语六级考试解析第1套.pdf,Recording Questions 22-25,"almost always achieved the goals they set for themselves. And it is these behaviors that make it easy for them to be socially indifferent. They resist lifestyle creep, the tendency to spend more whenever one earns more. (25)Essentially, they don't yield to pressure to buy the latest thing or to keep up with others or what they have acquired. Instead of being focused on what might make them happy today, they're focused on their long-term wealth-building plan.",2022.06英语六级考试解析第1套.pdf,"25. Why does the speaker say millionaires are socially indifferent? 【精析】细节辨认题。根据句（25)可知，百万富翁 B) 不会屈服于压力去购买最新的东西，也不会试图 跟上其他人或他们已经获得的东西。也就是说， 百万富翁看上去对社交漠不关心，原因之一是他 们从不试图与别人保持一致。因此答案为B)。 符合句意，故答案为B)。 28.【考点】副词辨析题。 K）【语法判断】空格前为主语Bath和be动词is,空 格后为过去分词known，beknownas有“以..... 著称”之意，可以推断出空格处应填入副词来说明 known的程度。 【语义判断】空格所在句大意为：“尽管巴斯主要作 为一座古罗马风和乔治王时代风城市而出名，但 在中间的几个世纪里，有很多人为了泡温泉来到 这里。""principally意为“主要地”，符合语境。由",closed,
2022.09.set1,1,A,It enables people to earn more money,It teaches the importance of financing,It helps people with budgeting,It introduces a novel way to invest,C,full_closure_audit,high,2022.09英语六级解析第1套.pdf,Conversation Questions 1-4,"Questions 1 to 4 are based on the conversation you have just heard. M: (1) Welcome to Money Matters, a weekly program that helps you manage vour monev. Tonight, I'll be talking to Mary Johnson about budgeting. W: Hello , everyone. M: There's a magic about money. When it's not planned for, tracked and kept a record of, it literally disappears. What are some of the steps we can take to prevent this from happening? W: (3- 1 ) ~ If you don't do that, you'll never be able to set any goals fo",2022.09英语六级解析第1套.pdf,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.,closed,
2022.09.set1,2,A,Many Americans are not satisfied with their income,Many Americans have no idea about how to invest,Most Americans do not know how to save money,Most Americans do not stick to a budget,D,full_closure_audit,high,2022.09英语六级解析第1套.pdf,Conversation Questions 1-4,"f the steps we can take to prevent this from happening? W: (3- 1 ) ~ If you don't do that, you'll never be able to set any goals for your budget or have the discipline to stick to them. M, That's easier said than done. (2) I read recently that onlv 41 % of Americans adhere to a budget. W : (3-2)Yes, but knowing what you earn and what you spend can give you reassurance that vou won't get into ~ You can do this by adding up all of your sources of income you have and writing them all down on a piece of paper. On the same page, write down all of your monthly expenses. M: I'm always amazed at how much my expenses add up. But designating",2022.09英语六级解析第1套.pdf,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.,closed,
2022.09.set1,3,A,Keep track of his money,Live within his means,Find more sources of income,Refrain from buying luxuries,A,full_closure_audit,high,2022.09英语六级解析第1套.pdf,Conversation Questions 1-4,"udgeting. W: Hello , everyone. M: There's a magic about money. When it's not planned for, tracked and kept a record of, it literally disappears. What are some of the steps we can take to prevent this from happening? W: (3- 1 ) ~ If you don't do that, you'll never be able to set any goals for your budget or have the discipline to stick to them. M, That's easier said than done. (2) I read recently that onlv 41 % of Americans adhere to a budget. W : (3-2)Yes, but knowing what you earn and what you spend can give you reassurance that vou won't get into ~ You can do this by adding up all of your sources of income you have and writing them a",2022.09英语六级解析第1套.pdf,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.,closed,multiple_markers=2
2022.09.set1,4,A,It offers a greater variety of items,It helps avoid unnecessary spending,It changes one's way of living,It saves one's time for shopping,B,full_closure_audit,high,2022.09英语六级解析第1套.pdf,Conversation Questions 1-4,"ber. I just can't resist the allure of all those prestigious goods. W: Well, it's not a catastrophe. But you do have to make some changes, try cutting back on those non-essential items, sell some stuff in your attic or ( 4 ) ~tations like chocolate. Failing that you can always find yourself a part-time job.",full_closure_audit,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.,closed,
2022.09.set1,5,A,It is brand-new,It has plenty of rooms,It belongs to her mother,It has been vacant for months,C,full_closure_audit,high,2022.09英语六级解析第1套.pdf,Conversation Questions 5-8,"hone on Wednesday. W, Hi, Mark, come on up. I'll buzz you in. Green door on the second floor on the right side. Nice to meet you. I spoke to all your references and they all checked out okay. So let me show you around. ( 5 ) ~ ~ But her health isn't great. So we finally managed to persuade her to move in with us and rent this old place out. M: It's a great size. Plenty of space. Very versatile. I think it's a winner for us. W, Yes, all the appliances are brand-new. There's a washing machine and a tumble dryer in the utility room next to the kitchen. M, Lots of closet space too, which is fabulous. My wife has a ridiculous number of sh",2022.09英语六级解析第1套.pdf,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.,closed,
2022.09.set1,6,A,Space,Tranquillity,Appliances,Location,B,full_closure_audit,high,2022.09英语六级解析第1套.pdf,Conversation Questions 5-8,"W, Yes, all the appliances are brand-new. There's a washing machine and a tumble dryer in the utility room next to the kitchen. M, Lots of closet space too, which is fabulous. My wife has a ridiculous number of shoes. (6-1)~电 question, what about noise and the neighbours? W, Well, all the neighbours are elderly, so no noisy kids. And the back of the house overlooks a clear and peaceful pond. ( 6 - 2 ) ~ M: ( 6 - 3 ) ~ We've been living in a less than glamorous part of Aberdeen, constantly harassed day and night by noisy neighbours. Getting to work was a nightmare too, as we only have one car and my wife has to use it as she works n",2022.09英语六级解析第1套.pdf,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.,closed,multiple_markers=3
