key,question,section,options,marker_unit,marker_snippet,explanation_answer,explanation_evidence
2022.12.set2,11,B,11. A) Talk with the offender calmly. C) Find out why he committed the offense. B) Accept the offender's apology. D) Determine how serious the offense was. 2022 年 12 月英语六级真题第 2 套 第 1 页，共 8 页 Questions 12 to 15 are based on the passage you have just heard.,,,,
2022.12.set2,20,C,20. A) They often lead to war between religious groups. B) They keep certain occupations from thriving. C) They allow myths and half-truths to persist. D) They prevent us from getting to the truth.,Recording Questions 19-21,"er case, we are only allowing ourselves to see half of the picture. Very few people or things in this world are all good or all bad. Prejudiced attitudes are usually based on myths, half truths or incorrect information, (20)and they are dangerous because they can keep us from learning the truth about someone or something. People form prejudices against others for many reasons--differences in their race, religion, gender or occupation. Prejudices keep people apart. They keep us from really knowing and understanding each other. We should feel proud of who we are and the group of people we represent. (21)If feelings of pride begin to turn",,
2022.12.set2,24,C,24. A) He had become mature. C) He had lots of stories to tell. B) He suffered poor health. D) He regretted leaving Vietnam.,,,,
2023.03.set1,4,A,4. A) They enjoy perfect health. C) They only eat organic food. B) They are both animal lovers. D) They are cutting back on coffee. Questions 5 to 8 are based on the conversation you have just heard.,Conversation Questions 1-4,"not terribly active or knowledgeable about animal preservation efforts, but they're serious about their health. Both are in their 7Os now, but eat organic as often as possible and take part in regular physical exercise. (4)Neither of them has any health problems, and they hardly ever get sick. M: In that case, I might give it a try someday. W: Now back to the menu. What are you going to have?",,
2023.06.set1,11,B,11. A) Engaging in intense activity. C) Working on a particular project. B) Fantasizing in one's down time. D) Reflecting during one's relaxation. Questions 12 to 15 are based on the passage you have just heard.,Passage Questions 9-11,"o recharge your mental batteries, see things in a new light and tap into your creativity. Almost all of the great advisors that I have studied have found ways to get away from it all and contemplate their life and work. (11) Some researchers in the field of creativity, in fact, believe that insight occurs during the reflection and relaxation that follows a period of intense activity. Schedule time for reflection about your work, or a particular project you're engaged in. I usually block out half an hour. Don't answer the phone; push your papers to the side; sketch; make lists; draw mind maps of ideas that come to you. At the end, write",,
2023.06.set2,7,A,7. A) He is honest and always tells the truth. C) He cares little about his working hours. B) He once worked part-time in university. D) He has little previous work experience.,Conversation Questions 5-8,"or a celebrity is very glamorous. Nothing could be 第2页，共15页 further from the truth. I'm telling you this so that you don't get any false expectations of what the job has to offer you. M: Thanks. I understand this too. (7)This is my first job after graduating from university. So frankly, I don't have much prior working experience. I am, however, very excited about the prospect of joining this W: That's good to hear. You sound very energetic. Tell me why do you think you are well suited for this job? M: Well, firstly, I love football. I'm a lifelong Real Madrid supporter and go to their games every weekend I can. I would simply love to",,
2023.06.set2,11,B,11. A) Help them take up these sports when they are more mature. B) Let them participate in some less risky outdoor activities. C) Ask them to try some forms of indoor sports. D) Introduce them to these sports step by step. Questions 12 to 15 are based on the passage you have just heard.,Passage Questions 9-11,"many of the same risks and dangers, but they have an additional sense of adventure, courage and autonomy that is important to foster in young children. As always, it's up to parents to decide what's best for their kids. (11)But if you do decide that adventure sports are a bit too much, do try to introduce other forms of outdoor adventures into their lives. Camping under the stars, fishing, stargazing or even just playing in the woods can help a lot in building the same sense of self-confidence and risk-taking as in adventure sports.",,
2023.06.set2,20,C,20. A) He served as chairman of the Nebraska State Board of Agriculture. B) He urged the state to start the Nebraska State Gardening Society. C) He engaged himself in a large number of aesthetic projects. D) He founded a newspaper and used it to promote his ideas. 2023 年 6 月英语六级真题第 2 套 第 2 页，共 8 页,Recording Questions 19-21,"o plant as many forests as we have exhausted and consumed"". So he started planting trees, beginning with his own land. By 1860 Morton possessed a forest of more than 300 trees. A few years later, he had more than 1,000. (20)As the forest grew, so did Morton's influence in Nebraska. This was largely because Morton founded the Nebraska CityNews,the state'sfirst newspaper,in whichhefrequently wroteeditorials about thepractical and aesthetic benefits of tree planting. He also organized the Nebraska State Gardening Society and served on the Nebraska State Board of Agriculture. While serving on the Board, Morton came up with an idea to spread",,
2023.12.set1,10,B,10. A) The themes of love and loss. C) The sins and flaws of eccentrics. B) The code of human behaviour. D) The manners of fashionable circles.,Passage One,"ire and has been adapted for radio, theatre, and TV. She has written two plays for a theatre in Edinburgh-the first was called Nice and the second Abandonment, performed as part of the Edinburgh Festival in August 2000. [10] Whatever genre Atkinson writes in, her books touch on the themes of love and loss and how to carry on. They are always presented with ingenuity and a wicked sense of humor. Her books tend to be populated by odd, sometimes sinful, and generally flawed eccentrics who become credible by virtue of being so fully realized. Her books have frequently been described as comedies of manners. That is to say, comedies that repr",,
2023.12.set1,16,C,16. A) What differentiates people from animals. C) Where humans' great cognitive capacity originates. B) Why philosophers disagree with scientists. D) When being creative becomes a biological mandate.,Recording One,"Recording One ·听力原文· [16] What makes humans different from other species? Some philosophers argue it's morals or ethics, while some scientists assert it's our greater cognitive development. But I argue that the main difference is our desire to combat routine. This makes being creative a biological mandate, as what we seek in art and technology is surprise, not simply a fulfillment of expectations. As a result, a wild imagination has characte",,
2024.06.set1,7,A,7. A) A blur. C) The edge of our galaxy. B) Stars. D) An ordinary flying object.,Conversation Two,"ye?. W: The Oppenheimer comet will still be millions of miles away on the edge of our galaxy. But nevertheless, this is a relatively close distance, close enough for people to observe in good detail through a telescope. [7] People will only see a blur without one. However, that does not mean one needs professional equipment. Even the most ordinary of telescopes should be conducive for people to observe and wonder at this flying object. M: Many of our viewers will be wondering how they too can take part in this once-in-a-lifetime event. Where will this comet be in the sky? How can people find it? W: The comet will be almost exactly due",,
2024.06.set2,12,B,12. A) She threw up in the bathroom. C) She dozed off for a few minutes. B) She slept during the entire ride. D) She boasted of her marathon race.,Passage Two,"Two ·听力原文· I don't want to boast anything, but I have always considered myself something of an elite sleeper. Given the opportunity, I will sleep for marathon stretches, and can doze through the most extreme situations. [12] On one very rough ferry crossing, on the route to the Isles of Scilly, for example, my traveling companion spent the entire 3-hour- ride throwing up in the bathroom, while I dozed happily on a plastic chair. Unfortunately, it has come to my attention that I am not an elite sleeper after all. It seems I am just lazy, because elite sleepers are defined as the approximately 3 percent of the population who are biologica",,
2024.06.set2,16,C,16. A) We have poor awareness of how many controversial issues are being debated. B) No one knows better than yourself what you are thinking about at the moment. C) No one can change your opinions more than those who speak in a convincing tone. D) We are likely to underestimate how much we can be swayed by a convincing article 11 ·2024年6月六级真题（第二套）· 淘宝：谈辰图书企业店,Recording One,"文· If you read an article about a controversial issue, do you think you'd realize if it had changed your beliefs? No one knows your own mind like you do. It seems obvious that you would know if your beliefs had shifted. [16] And yet, a new paper in the Quarterly Journal of Experimental Psychology suggests that we actually have very poor awareness of our own belief change, meaning that we will tend to underestimate how much we've been swayed by a convincing article. The researchers recruited over 200 undergraduates across two studies and focused on their beliefs about whether physical punishment of kids is an effective form of discipline",,
2024.06.set2,21,C,21. A) The meaning of motherhood has changed considerably. B) More and more mothers go shopping to treat themselves. C) More mothers have adult children celebrating the holiday. D) The number of American mothers has been growing steadily. Questions 22 to 25 are based on the recording you have just heard.,Recording Two,"act, despite the demographic shift, retail spending on the holiday appears to be rising. It is hard to say if Mother's Day spending is rising more than one would expect, given that the American population keeps growing. [21] But one factor might be that the proportion of women who are the mothers of adult children is rising and those adult children may spend more generously when it comes to celebrating the moms they no longer live with.",,
2024.06.set2,23,C,23. A) NASA did experiments in sealed containers resembling the super-insulated offices of 1970s. B) It was based on experiments under conditions unlike those in most homes or offices. C) NASA conducted tests in outer space whose environment is different from ours. D) It drew its conclusion without any contrastive data from other experiments.,Recording Three,"ncreasingly invested in greenery to help clean their air. But a new analysis suggests it could actually take more than 1,oo0 plants per square meter to gain a benefit any greater than simply opening a couple of windows. [23] The problem lies in the fact that NASA conducted their tests in sealed containers that do not simulate the conditions in most people's homes or offices. The space agency was primarily concerned about keeping the air fresh for astronauts cut off in biospheres or space stations, and helping to combat “sick building syndrome"" which had become a problem due to the super-insulated and energy-efficient offices of the late",,
2024.06.set2,25,C,25. A) The root cause for misinterpretations of scientific findings. B) The difficulty in understanding what's actually happening. C) The steps to be taken in arriving at any conclusion with certainty. D) The necessity of continually re-examining and challenging findings.,Recording Three,"ple of open windows in a house. In contrast, NASA's sealed experiment recommended one pot plant per 1o0 square feet. This is certainly an example of how scientific findings can be misleading or misinterpreted over time. [25] But it's also a great example of how scientific research should continually re-examine and question findings to get closer to the ground truth of understanding what's actually happening. 六级2024.6（第二描】29 ·",,
2024.12.set1,7,A,7. A) It is a key medical branch conducive to realizing her dreams. B) It connects many other specialties with its broad coverage. C) It has a long history in the man's prestigious institution. D) It is a medical branch both of her parents specialize in.,Conversation Questions 5-8,"ams. M: Is there any medical branch that you would like to specialize in? W: I haven't decided yet. It's still early days. However, if I had to say, internal medicine. M: Why internal medicine? W: I know it's no picnic. (7)But I find it the most intriguing, because it covers so much and ties together so many other specialties. M: Thank you. Now I'd like to address your academic history and projected grades. We like to think of ourselves as a prestigious institution with a highly competitive and promising student body. As you know, to get into our programmes, you need at least 85% score in the entrance exam. Do you think you can attain",,
2024.12.set2,21,C,21. A) Their fortunes may take a downturn. B) They can be classified as middle class. C) Their living standards have been deteriorating. D) They are experiencing a radical transformation. Questions 22 to 25 are based on the recording you have just heard.,Recording Questions 19-21,"tries has gone up as a result of globalization, global inequality has been on a steady downward trend for several decades. This is mostly a result of the improvement of hundreds of millions of people's living standards. (21)In fact, for the first time ever since the Industrial Revclution, about half of the global population can be considered middle class. 解析册·2024年12月六级真题（二）20",,
2025.06.set1,9,B,9. A) They looked into the relationship between one's prior knowledge and creativity. B) They offered novel ways to help older adults to keep their memories from aging. C) They proposed an explanation for old people's difficulty in retrieving memories. D) They advanced a new model concerning human information storage and retrieval.,Passage One,"Passage One ·听力原文· When a person tries to access a memory, their brains quickly examine everything stored in it to find the relevant information. [9] But as we age, many of us have difficulty retrieving memories. [9] In a review published in the journal Trends in Cognitive Sciences on February 1lth, researchers propose an explanation for why this might be happening: the brains of older adults allocate more space to accumulated knowledge make memory retrieval challenging, the researchers say it has its upsides-this life experience can aid with creativity and decision-making. [10] Researchers Tarek Amer, Jordana Wynn and Lynn Hash",,
2025.06.set1,12,B,12. A) They are actually proud of the goods and services they produce. B) They are worried about being alienated from the outside world. C) They are rarely in control of many things related to their work. D) They are longing to share the profits made from their work.,Passage Two,"Passage Two ·听力原文· There are at least four major problems with work in America today. First, work can be alienating. [12] Workers are often not in control of how they work, when they work, what is done with the goods and services they produce, and what is done with the profits made from their work. Second, workers are not paid the full value of their labor. Real wages have not kept pace with productivity, driving economic inequality and a decline in labor's share of income. Third, people are time poor. In the U.S., full time employees",,
2025.06.set2,4,A,4. A) Compare the candidates side by side again. C) Find a way to break the tie next time. B) Ask the board to cast the deciding vote. D) Let John make the final decision. Questions 5 to 8 are based on the conversation you have just heard.,Conversation One,"d somehow. Maybe it was something about their body language. W: Sure. Maybe he was simply less nervous. M: Maybe. Who knows? To be honest, I think I like Rachel better. W: Hmm. Really? I think I like Peter. M: Ah, well. [4] If there's a tie, and we can't come to an agreement, then we'll take it to John and let him cast the deciding vote. 22六级2025.6(第二套 ·",,
2025.06.set2,9,B,9. A) They could readily recognize their owner simply by looking. B) They could understand the implications of human commands. C) They could be domesticated to act as our companions. D) They could follow pointing gestures without training.,Passage One,"their owners' commands and gestures, but are these abilities inborn or are they exclusively learned through training? To find out, a new study examined whether stray dogs could 24六级2025.6第二套 understand human gestures. [9] The study revealed that 80% of participating dogs successfully followed pointing gestures to a specific location despite having never received prior training. The results suggest that dogs can understand complex gestures by simply watching humans. This could have implications in reducing conflict between stray dogs and humans. Dogs were domesticated 10,000 to 15,000 years ago. This means they are probably the oldest",,
2025.12.set1,1,A,1. A) He has distinguished himself in foreignservice. C) He is currently an electrical engineer. B) He is his.country's ambassadorto Winopia. D) He craves attention from the media.,Conversation One,"Conversation One ·昕力原文· W: [1] Today's special guest is Lord Blackwell, one of our country's most experienced and distinguished career diplomats. Welcome. M: It's my pleasure. W: Our audience will be most interested in learning about a career in the foreign service. However, before we talk about that, I'd like to ask you about the current developments hitting the news today regarding the Republic of Winopia. What can you tell us? M: I'm afraid I",,
2025.12.set1,8,A,"8. A) Fewer rectifications of the contract. C) The early implementation of the project. B) More support from the board members. D) The alignment of all sections of the contract. Section B Directions: In this section, you will hear two passages. At the end o f each passage, you will hear three or four questions. Both the passage and the questions will be spoken only once. After you hear a question, you must choose the best answer from the four choices marked A), B), C) and D). Then mark the corresponding letter on Answer Sheet 1 with a single line through the centre. 1 • 2025年 12月六级真题（第一套）• Questions 9 to 11 are based on the passage you have just heard.",Conversation Two,"fications be made. They might think they're being helpful but in reality they're being obstructive and hampering progress. W: Oh Jeff, you're too preoccupied and cynical. It won't be anywhere as bad as that. You'll see. [8] The entire managerial hierarchy wants to see this project implemented as soon as possible and the board too is virtually unanimous in its support. Go on then, let's stop there and meet up again, same time tomorrow. ·",,
2025.12.set1,17,C,17. A) Its tag may get tom off on the conveyor belt. C) It may be sent to a wrong destination. B) Its tag may get stuck in the sorting machine. D) It may be picked up by someone else.,Recording One,"e sophisticated automated systems, including scanners that read baggage labels, destination coded vehicles that load and unload the bags without stopping, and sorting machines that route baggage to the appropriate gate. [17] Even so, all that technology may not save your baggage tag from being torn off on the conveyor belt, making you the owner of a bag with no name. Once a bag goes missing and the passenger files a claim, the bag is declared mishandled by the carrier. Mishandled refers to bags that have been delayed, lost, stolen or damaged. Most delayed bags are only one flight behind their owners and can be delivered within 24 hours.",,
2025.12.set2,4,A,4. A) A complete refurnishing. C) A substantial expansion. B) A ruinous burning down. D) A massive renovation. Questions 5 to 8 are based on the conversation you have just heard.,Conversation One,"ve to be complimented for it. W: Totally, and it's such a great environment too. Like, the entire building is beautiful. M: It is very nice. W: The massive glass windows make all the difference. I think they're so cool. [4] Apparently, they did a massive renovation a few years ago. It cost them a pretty penny. M: Yeah, I'm not surprised. It's a very versatile space, suitable both for eating and relaxing. W: And for working. M: You're right, working too. I've used my laptop there once or twice, and there's always a group project or meeting going on at the far end. ·",,
2025.12.set2,10,B,10. A) By inviting them to taste different kinds of food. B) By observing the eating behaviour of strict vegetarians. C) By comparing participants eating vegetarian food frequently with those doing so rarely. D) By requiring participants to choose a meal as if they were feasting at a family gathering.,Passage One,"rs, said restaurants can have a positive impact on the environment by encouraging their customers to choose more plant-based food and less meat. However, our findings choices, they can have the oppositeeffect on others. [10] The study involved 750 people, half of whom frequently ate vegetarian food, and half of whom rarely ate it. No vegetarians were included. They were given different menus and asked to choose a meal as if they were eating out with friends. Placing vegetarian dishes in a separate section did not have a significant effect on the choices made by infrequent vegetarian food eaters. But it did have a notable effect on the f",,
2025.12.set2,11,B,11. A) They are less likely to choose a vegetarian dish. B) They find vegetarian dishes become more appealing. C) They tend to consume larger portions of unhealthy food. D) They are less likely to choose dishes recommended by chefs. Questions 12 to 15 are based on the passage you have just heard.,,,,
2025.12.set2,13,B,"13. A) They can be costly and inefficient. C) They are by-products of health research. B) They are constantly being perfected. D) They can save over 40,000 lives each year.",Passage Two,"on of air conditioning units, so that they can also clean polluted indoor air. Outdoor airpollution incitiesis aglobal problem,whetheritbehazeplaguingKolkata orpoorair impacting the health of children in London schools. [13] While there are some existing technologies to purify indoor air, they can be inefficient, expensive, or produce harmful byproducts. [14] When outdoor air quality is poor, people tend to spend even more time indoors, but outdoor pollution also leads to indoor pollution, and people still suffer. It is estimated that pollution is linked to over 40,000 early deaths in Britain each year. Professor Gang Pan of the Chinese",,
2025.12.set2,14,B,14. A) They keep their windows closed. C) They make more use of air-conditioners. B) They spend a lot more time indoors. D) They try various ways to purify indoor air.,Passage Two,"ehazeplaguingKolkata orpoorair impacting the health of children in London schools. [13] While there are some existing technologies to purify indoor air, they can be inefficient, expensive, or produce harmful byproducts. [14] When outdoor air quality is poor, people tend to spend even more time indoors, but outdoor pollution also leads to indoor pollution, and people still suffer. It is estimated that pollution is linked to over 40,000 early deaths in Britain each year. Professor Gang Pan of the Chinese Academy of Sciences said, ""We have shown in our experiments that simply by circulating polluted air through a small freezing chamber, we",,
2025.12.set2,23,C,23. A) It has made us the person we are now. C) It stems from our valuable knowledge. B) It has been made with a lot of thinking. D) It benefits us greatly one way or another.,Recording Three,"ilymeantheywould bebetter. You don't have to continually be thinking of all your past decisions and whether or not you made the right one. You can't go back and change anything. So what's the point in worrying about it? [23] Every single decision you've ever made, positive or negative, has made you the person you are today. We want to go back and change parts of our past, but what would be the benefit of that? We would have lost the valuable knowledge from the lessons we learned. There are reasons you make the choices you do, and that tells us about who you are. So when it comes to any decision in life, be unapologetically yourself, bec",,
