key,question,old_answer,audited_answer,evidence_summary
2022.09.set1,2,,D,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.09.set1,3,,A,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.09.set1,4,,B,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.09.set1,5,,C,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.09.set1,6,,B,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.09.set1,7,,B,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.09.set1,8,,D,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.09.set1,9,,D,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.09.set1,10,,C,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.09.set1,11,,A,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.09.set1,12,,D,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.09.set1,13,,C,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.09.set1,14,,B,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.09.set1,15,,A,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.09.set1,16,,D,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.09.set1,17,,A,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.09.set1,18,,A,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.09.set1,19,,B,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.09.set1,20,,C,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.09.set1,21,,D,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.09.set1,22,,B,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.09.set1,23,,C,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.09.set1,24,,A,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.09.set1,25,,B,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.12.set1,11,,C,explanation says chronic stress makes people more prone to illness; option C matches.
2022.12.set2,10,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.12.set2,11,,C,explanation says forgiving the offender requires reflecting on why the offense occurred and developing empathy; option C matches.
2022.12.set2,13,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.12.set2,20,,D,marker says prejudices are dangerous because they keep us from learning the truth; option D matches.
2022.12.set2,24,,A,explanation says the Vietnam experience made the speaker more mature than his friends; option A matches.
2022.12.set2,25,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2023.03.set1,4,,A,marker says both parents are in their 70s but have no health problems and hardly get sick; option A matches.
2023.03.set1,7,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2023.03.set1,10,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2023.03.set1,21,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2023.06.set1,1,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2023.06.set1,11,,D,marker says insight occurs during reflection and relaxation after intense activity; option D matches.
2023.06.set1,19,,A,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2023.06.set2,1,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2023.06.set2,7,,D,marker says this is his first job after university and he has little prior working experience; option D matches.
2023.06.set2,8,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2023.06.set2,11,,B,"marker says if adventure sports are too much, introduce other outdoor adventures; option B matches."
2023.06.set2,18,,A,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2023.06.set2,20,,D,marker says Morton founded the state's first newspaper and wrote editorials promoting tree planting; option D matches.
2023.06.set2,21,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2023.12.set1,2,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2023.12.set1,3,,A,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2023.12.set1,4,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2023.12.set1,5,,A,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2023.12.set1,6,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2023.12.set1,7,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2023.12.set1,8,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2023.12.set1,9,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2023.12.set1,10,,A,marker says Atkinson's books touch on themes of love and loss; option A matches.
2023.12.set1,14,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2023.12.set1,16,,A,recording opens by asking what makes humans different from other species; option A matches.
2023.12.set1,17,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2023.12.set1,25,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2023.12.set2,1,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2023.12.set2,3,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2023.12.set2,9,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2023.12.set2,13,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2023.12.set2,18,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2023.12.set2,19,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2023.12.set2,21,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2023.12.set2,23,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2023.12.set2,25,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2024.06.set1,1,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2024.06.set1,2,,A,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2024.06.set1,3,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2024.06.set1,4,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2024.06.set1,5,,A,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2024.06.set1,6,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2024.06.set1,7,,A,marker says people will see only a blur without a telescope; option A matches.
2024.06.set1,8,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2024.06.set1,11,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2024.06.set1,18,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2024.06.set1,24,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2024.06.set2,1,,A,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2024.06.set2,12,,B,explanation says the speaker slept/dozed through the entire rough ferry ride; option B matches.
2024.06.set2,15,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2024.06.set2,16,,D,marker says people underestimate how much they can be swayed by a convincing article; option D matches.
2024.06.set2,17,,A,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2024.06.set2,19,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2024.06.set2,21,,C,marker says more women are mothers of adult children who celebrate the holiday; option C matches.
2024.06.set2,22,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2024.06.set2,23,,B,marker says NASA tests were in sealed containers unlike homes/offices; option B matches.
2024.06.set2,24,,A,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2024.06.set2,25,,D,marker says scientific research should continually re-examine and question findings; option D matches.
2024.12.set1,7,,B,marker says internal medicine covers much and ties many specialties together; option B matches.
2024.12.set1,11,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2024.12.set1,20,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2024.12.set2,11,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2024.12.set2,20,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2024.12.set2,21,,B,marker says about half of the global population can be considered middle class; option B matches.
2025.06.set1,2,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set1,3,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set1,4,,A,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set1,9,,C,marker says researchers proposed an explanation for older people's memory-retrieval difficulty; option C matches.
2025.06.set1,10,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set1,12,,C,marker says workers are often not in control of how they work and related outcomes; option C matches.
2025.06.set1,16,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set1,17,,A,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set1,19,,A,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set1,21,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set1,25,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set2,1,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set2,2,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set2,3,,A,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set2,4,,D,marker says John will cast the deciding vote if there is a tie; option D matches.
2025.06.set2,5,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set2,6,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set2,7,,A,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set2,8,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set2,9,,D,marker says stray dogs followed pointing gestures without prior training; option D matches.
2025.06.set2,10,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set2,11,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set2,12,,A,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set2,13,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set2,14,,A,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set2,15,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set2,17,,A,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set2,18,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set2,19,,A,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set2,20,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set2,21,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set2,22,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set2,23,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set2,24,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.06.set2,25,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set1,1,,A,marker introduces Lord Blackwell as an experienced and distinguished career diplomat; option A matches.
2025.12.set1,2,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set1,3,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set1,4,,A,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set1,5,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set1,6,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set1,7,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set1,8,,C,marker says the whole managerial hierarchy wants early implementation of the project; option C matches.
2025.12.set1,9,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set1,10,,A,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set1,11,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set1,12,,A,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set1,13,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set1,14,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set1,15,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set1,16,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set1,17,,A,marker says the baggage tag may be torn off on the conveyor belt; option A matches.
2025.12.set1,18,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set1,19,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set1,20,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set1,21,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set1,22,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set1,23,,A,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set1,24,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set1,25,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set2,1,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set2,2,,A,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set2,3,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set2,4,,D,marker says the canteen had a massive renovation; option D matches.
2025.12.set2,5,,A,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set2,6,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set2,7,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set2,8,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set2,9,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set2,10,,C,marker says the study compared frequent and rare vegetarian-food eaters; option C matches.
2025.12.set2,11,,A,explanation says altered menu designs made frequent vegetarian-food eaters less likely to choose vegetarian dishes; option A matches.
2025.12.set2,12,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set2,13,,A,"marker says existing indoor-air purification technologies can be inefficient, expensive, or harmful; option A matches."
2025.12.set2,14,,B,marker says people spend even more time indoors when outdoor air quality is poor; option B matches.
2025.12.set2,15,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set2,16,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set2,17,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set2,18,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set2,19,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set2,20,,A,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set2,21,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set2,22,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set2,23,,A,marker says every decision has made us the person we are today; option A matches.
2025.12.set2,24,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2025.12.set2,25,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
