key,question,section,answer,top_pair,top_score,second_pair,second_score,margin,answer_in_pair,answer_mate,answer_shorter,answer_fewer_words,options
2022.06.set1,1,A,A,CD,0.113,BC,0.097,0.016,False,,,,A: He is a staff writer | B: He is an adventurer | C: He is an author of fiction | D: He is a father of four kids
2022.09.set1,10,B,C,CD,0.177,AC,0.169,0.008,True,D,False,False,A: Inform children of the family's financial situation | B: Shift children's attention to interesting activities | C: Involve children in making purchasing decisions | D: Help children understand advertising's intent
2022.09.set1,11,B,A,BC,0.066,AC,0.066,0.000,False,,,,A: Their limited cognitive ability | B: Their strong natural curiosity | C: Their admiration for celebrities | D: Their lack of social experience
2022.09.set1,12,B,D,AB,0.407,AC,0.387,0.020,False,,,,A: Bad guys may do good deeds | B: Bad guys may go unpunished | C: Good guys may not always cooperate | D: Good guys may get unfair treatment
2022.09.set1,13,B,C,CD,0.077,AB,0.046,0.031,True,D,True,True,A: By what we do | B: By fair evaluation | C: In comparison with others | D: In accordance with set standards
2022.09.set1,14,B,B,BD,0.138,AC,0.077,0.061,True,D,True,False,A: Learn from them earnestly | B: Compete with them actively | C: Leave them alone temporarily | D: Cooperate with them sincerely
2022.09.set1,15,B,A,AD,0.059,CD,0.050,0.009,True,D,True,True,A: Being dismissed as hypocritical | B: Not getting the reward they deserve | C: Having to make too many sacrifices | D: Being misunderstood by people around
2022.09.set1,16,C,D,CD,0.076,AC,0.063,0.013,True,C,True,False,A: They are increasingly aware of gender differences | B: They engage themselves in positive recollection | C: They begin to see the importance of friendship | D: They make friends with peers of the same sex
2022.09.set1,17,C,A,AB,0.079,BD,0.072,0.007,True,B,False,False,A: Competing for position | B: Pursuing fashion | C: Forging close ties with friends | D: Fulfilling family obligations
2022.09.set1,18,C,A,AB,0.245,AC,0.234,0.011,True,B,True,True,A: They prioritize romance over friendship | B: They try to strengthen same-sex friendships | C: They begin to take friendship more seriously | D: They compete intensely for romantic partners
2022.09.set1,19,C,B,BD,0.071,BC,0.050,0.021,True,D,True,True,A: They regard it as a matter of sheer privacy | B: They are worried about being turned down | C: They fear that their condition will be made widely known | D: They are afraid to be discriminated against once recruited
2022.09.set1,20,C,C,BC,0.339,AB,0.249,0.090,True,B,False,True,A: After receiving a job offer | B: During a job interview | C: When confirming an interview | D: Upon completing a cover letter
2022.09.set1,21,C,D,CD,0.244,AD,0.086,0.158,True,C,True,False,A: Describe the true state of their health | B: Provide all the information required | C: Stress the irrelevance of their disability to the job | D: Avoid mentioning the name of their disability
2022.09.set1,22,C,B,AC,0.399,AB,0.203,0.195,False,,,,A: Their scores were least affected by music with speech | B: It was the poorest when there was background speech | C: Their scores were most depressed with instrumental music | D: It was disrupted by the sound of an air conditioner or fan
2022.09.set1,23,C,C,CD,0.155,AB,0.071,0.085,True,D,True,False,A: It has to do with the type and volume of the background noise | B: It has to do with short-term memory for listening comprehension | C: It depends on the overlap in processing different kinds of information | D: It depends on the participants' ability to concentrate on the task at hand
2022.09.set1,24,C,A,AC,0.210,AB,0.055,0.155,True,C,True,True,A: Keep everything as quiet as possible | B: Play nothing but instrumental music | C: Use vocal material as little as possible | D: Wear a pair of earphones or headphones
2022.09.set1,25,C,B,CD,0.223,BC,0.207,0.017,False,,,,A: Sociable people were immune to all distractions | B: Shy quiet people were most adversely impacted | C: Less outgoing people were more affected by silence | D: Confident people were unaffected by high-arousal music
2022.12.set1,1,A,A,AB,0.271,CD,0.091,0.179,True,B,False,False,A: She hasn't started writing it | B: She hasn't decided on a topic | C: She is proofreading the first draft | D: She is working on the references
2022.12.set1,2,A,B,BD,0.196,AB,0.175,0.021,True,D,True,False,A: He lent many books to the man for reference | B: He offered the man advice on resource hunting | C: He published a lot in a number of reputable journals | D: He told the man to be selective when using e-resources
2022.12.set1,3,A,A,BD,0.401,AB,0.387,0.014,False,,,,A: He didn't think her dissertation topic viable | B: He wasn't interested in her dissertation topic | C: He didn't want her to rush through her dissertation | D: He wasn't specific about the length of her dissertation
2022.12.set1,4,A,D,AB,0.044,AC,0.044,0.001,False,,,,A: Change her research methodology | B: Narrow down her dissertation topic | C: Consult her professor more | D: Follow the man's advice
2022.12.set1,5,A,C,AC,0.222,AD,0.207,0.015,True,A,False,False,A: He has translated 12 books | B: He is a well-known nutritionist | C: His books sell well worldwide | D: His latest book sold a million copies
2022.12.set1,6,A,C,CD,0.202,AC,0.198,0.004,True,D,False,True,A: The desire of Americans to try exotic cuisines | B: The demand for information about food safety | C: The fact that over half of Americans are overweight | D: The fact that science books are difficult to read
2022.12.set1,7,A,D,BC,0.142,AD,0.070,0.072,False,,,,A: The general public | B: Those who are overweight | C: Those who want to lose weight | D: The medical community
2022.12.set1,8,A,B,AB,0.233,AC,0.040,0.193,True,A,False,False,A: Switch to a vegetarian diet | B: Follow a personalized diet | C: Adhere to doctors' advice | D: Cut carbohydrate intake
2022.12.set1,9,B,B,CD,0.230,AB,0.209,0.021,False,,,,A: The rate of their growth increased dramatically | B: The growth of their new brain cells doubled | C: They began to show signs of depression | D: They began to get irritated and restless
2022.12.set1,10,B,A,AD,0.064,BC,0.063,0.000,True,D,False,False,A: To avoid them in the future | B: To warn others against them | C: To make good sense of them | D: To reflect on their causes
2022.12.set1,11,B,C,CD,0.064,AD,0.034,0.030,True,D,True,True,A: Produce a surprising healing effect | B: Weaken one's immunity in the long run | C: Make people more susceptible to illness | D: Provide protection against mental illnesses
2022.12.set1,12,B,D,AC,0.107,AB,0.064,0.043,False,,,,A: Placing their own interests over their staff's | B: Being overwhelmed by their daily routines | C: Lacking the ability to relate to their staff | D: Spending too much time handling email
2022.12.set1,13,B,D,AB,0.075,BD,0.063,0.012,False,,,,A: Their leadership may be challenged | B: Their companies may go bankrupt | C: Unexpected events may occur | D: Major problems may result
2022.12.set1,14,B,B,AB,0.073,AC,0.049,0.024,True,A,False,False,A: Keep an eye on their employees | B: Motivate and inspire their team | C: Sacrifice some of the immediate goals | D: Have greater ambition in overall planning
2022.12.set1,15,B,A,CD,0.058,BC,0.035,0.022,False,,,,A: Cultivate self-control | B: Filter their email boxes | C: Respond only after work | D: Check only when necessary
2022.12.set1,16,C,D,AD,0.184,CD,0.075,0.109,True,A,True,True,A: The key to increasing healthy food supply | B: The best way to improve marketing research | C: The impact of advertisements on consumption | D: The importance of the appearance of food
2022.12.set1,17,C,A,BC,0.242,AB,0.229,0.013,False,,,,A: By focusing on the nutrients in different foods | B: By emphasizing the diversity of food | C: By stressing pleasing aesthetics of food | D: By winning the support of marketing professors
2022.12.set1,18,C,B,AB,0.167,BD,0.161,0.006,True,A,True,False,A: They can attract customers with the healthy qualities of their products | B: They can boost sales of healthy foods by making them visually appealing | C: They can turn to marketing professors for advice | D: They can rely on advertising for sales promotion
2022.12.set1,19,C,C,BC,0.080,AD,0.052,0.028,True,B,False,False,A: It has witnessed a spectacular surge in demand | B: It has met much criticism from environmentalists | C: It has seen more small businesses offering environment-friendly products | D: It has experienced increasingly fierce competition among global companies
2022.12.set1,20,C,A,AC,0.176,BD,0.069,0.107,True,C,False,False,A: Consumers now know much more about technology | B: Their mass production has sharply reduced the price | C: Consumers tend to favor all that is novel | D: Their quality has been greatly improved
2022.12.set1,21,C,B,AC,0.188,BD,0.072,0.116,False,,,,A: Purchasing only this kind of products for home cleaning | B: Writing positive comments about them on social media | C: Demonstrating on TV how effective these products are | D: Telling one another about their incomparable virtues
2022.12.set1,22,C,B,BD,0.342,AB,0.078,0.265,True,D,True,False,A: Increasing cleaners' workload | B: Blocking the fountains' works | C: Breaking a time-honored ritual | D: Polluting the fountains' water
2022.12.set1,23,C,C,CD,0.242,AD,0.069,0.173,True,D,False,True,A: They are occasionally retrieved by curious tourists | B: They are regularly donated to charity organizations | C: They are mostly used for the fountains' maintenance | D: They are usually used as wages for fountain cleaners
2022.12.set1,24,C,C,BC,0.233,AC,0.079,0.154,True,B,False,False,"A: It is invested in a series of businesses | B: It is used exclusively for its maintenance | C: It is used to run a supermarket for the needy | D: It is estimated to be about $ 40,000 a month"
2022.12.set1,25,C,D,AD,0.292,AC,0.068,0.224,True,A,True,False,A: He was arrested for stealing money from four fountain cleaners | B: He was sentenced to 34 years' imprisonment | C: He collected rare coins from around the world | D: He stole a lot of money from a fountain with a magnetic stick
2022.12.set2,1,A,A,AB,0.050,CD,0.049,0.001,True,B,False,True,A: Prioritizing happiness over money | B: Joining the club to get her new book | C: Managing one's personal finances wisely | D: Consuming more only when earning more
2022.12.set2,2,A,A,AB,0.099,CD,0.085,0.015,True,B,True,True,"A: She was in debt | B: She was a financial adviser | C: She earned $ 30,000 a month | D: She enjoyed a happy life"
2022.12.set2,3,A,D,BD,0.255,AB,0.227,0.028,True,B,False,False,A: It reflects one's earning power | B: It varies with one's environment | C: It mirrors one's sense of wellbeing | D: It changes with one's goals in life
2022.12.set2,4,A,C,AD,0.220,CD,0.218,0.002,False,,,,A: It would give him more time to be with his loved ones | B: It would be good for those who value relationships | C: It would mean major sacrifices for him | D: It would deprive him of his individuality
2022.12.set2,5,A,C,AC,0.118,BC,0.094,0.023,True,A,False,False,A: It was the artist's first landscape | B: It was a painting by Christopher | C: It was donated by the artist herself | D: It was displayed at a retirement party
2022.12.set2,6,A,D,BC,0.078,AC,0.074,0.005,False,,,,A: It was the painting that instantly made her rich | B: It has cost him a lot of money to purchase it | C: It was recently purchased by the gallery | D: It is owned by an anonymous collector
2022.12.set2,7,A,B,AD,0.078,AC,0.054,0.024,False,,,,A: It reflects her emotions | B: It contains ample details | C: It appears perfectly symmetrical | D: It depicts the beauty of desolation
2022.12.set2,8,A,B,AD,0.307,CD,0.295,0.012,False,,,,A: She is eccentric like any other artist | B: She is a very nice and intelligent artist | C: She is as lucky as any acclaimed artist | D: She is one of the most productive artists
2022.12.set2,9,B,A,BC,0.064,AB,0.053,0.011,False,,,,A: It is vital to one's mental health | B: It leads to reconciliation and peace | C: It promotes interpersonal relationship | D: It keeps one from traumatic experience
2022.12.set2,10,B,B,BC,0.330,AC,0.286,0.045,True,C,False,False,A: When the offender has power over the victim | B: When the offender is not willing to apologize | C: When the offender is not duly penalized | D: When the offender adds insult to injury
2022.12.set2,11,B,C,CD,0.226,AB,0.119,0.107,True,D,True,False,A: Talk with the offender calmly | B: Accept the offender's apology | C: Find out why he committed the offense | D: Determine how serious the offense was
2022.12.set2,12,B,A,AC,0.240,CD,0.051,0.189,True,C,False,False,A: The number of passengers dropped sharply | B: It served more and more commuters | C: The number of stations increased to 50 | D: It became the longest in the United Kingdom
2022.12.set2,13,B,C,BD,0.056,CD,0.045,0.012,False,,,,A: To increase capacity to meet growing needs | B: To make way for other means of transport | C: To have its systems modernised | D: To avoid further financial losses
2022.12.set2,14,B,D,CD,0.172,BC,0.073,0.098,True,C,False,False,A: It is generally recognised as a world heritage site | B: It is the fastest way to reach the city's south side | C: It constitutes a source of revenue for the city | D: It helps reduce traffic jams in the city centre
2022.12.set2,15,B,B,AD,0.111,AB,0.059,0.052,False,,,,A: They are usually crowded | B: They use high-tech systems | C: They accept smartcards only | D: They are colourfully decorated
2022.12.set2,16,C,C,AC,0.344,CD,0.093,0.250,True,A,True,True,A: They are quite friendly to humans | B: They are shrinking in numbers | C: They are unafraid of humans | D: They are especially fond of garbage
2022.12.set2,17,C,A,BC,0.074,BD,0.066,0.008,False,,,,A: It is strictly forbidden | B: It is an uncommon sight | C: It is a gesture of human generosity | D: It is allowed only in certain areas
2022.12.set2,18,C,B,AC,0.253,BC,0.192,0.061,False,,,,A: Share their food with the bear they see | B: Be prepared to run into a hungry bear | C: Try to be friendly with the bear they meet | D: Refrain from teasing bears with cubs
2022.12.set2,19,C,B,BD,0.256,AC,0.164,0.092,True,D,True,True,A: It refers to opinions that are radical and widespread | B: It means making judgments without adequate knowledge | C: It refers to deep-rooted beliefs about someone or something | D: It means sticking to one's judgments even when proved wrong
2022.12.set2,20,C,D,BD,0.077,CD,0.062,0.014,True,B,True,False,A: They often lead to war between religious groups | B: They keep certain occupations from thriving | C: They allow myths and half-truths to persist | D: They prevent us from getting to the truth
2022.12.set2,21,C,A,BC,0.195,AB,0.193,0.002,False,,,,A: When we start to feel superior | B: When we mix with prejudiced people | C: When we live in an isolated neighborhood | D: When we try to keep up with those around us
2022.12.set2,22,C,D,AB,0.060,BD,0.042,0.018,False,,,,A: Motivated | B: Disappointed | C: Perplexed | D: Shocked
2022.12.set2,23,C,A,AD,0.099,BD,0.099,0.000,True,D,False,False,A: They would change with the passage of time | B: They would benefit young people's adult life | C: They would help kids grow | D: They would last a lifetime
2022.12.set2,24,C,A,AC,0.064,BD,0.052,0.012,True,C,True,True,A: He had become mature | B: He suffered poor health | C: He had lots of stories to tell | D: He regretted leaving Vietnam
2022.12.set2,25,C,C,AD,0.282,AB,0.261,0.021,False,,,,A: Make friends with his students | B: Show his students how to do their best | C: Help his students get through the growing pains | D: Share his personal experience with his students
2023.03.set1,1,A,A,BC,0.082,AB,0.082,0.000,False,,,,A: In a restaurant | B: In a kitchen | C: In a food store | D: In a supermarket
2023.03.set1,2,A,D,CD,0.077,AB,0.050,0.027,True,C,False,False,A: She eats meat occasionally | B: She enjoys cheeseburgers | C: She is allergic to seafood | D: She is a partial vegetarian
2023.03.set1,3,A,B,AB,0.229,AC,0.057,0.172,True,A,True,False,A: Dealing with one's colleagues | B: Changing one's eating habit | C: Following the same diet for years | D: Keeping awake at morning meetings
2023.03.set1,4,A,A,BD,0.078,AC,0.066,0.012,False,,,,A: They enjoy perfect health | B: They are both animal lovers | C: They only eat organic food | D: They are cutting back on coffee
2023.03.set1,5,A,D,BC,0.207,CD,0.206,0.001,False,,,,A: The man got a poor evaluation from his colleagues | B: The man made little contribution to the company | C: The man paid attention to trivial things | D: The man had an attitude problem
2023.03.set1,6,A,C,BD,0.179,AB,0.061,0.118,False,,,,A: They make unhelpful decisions for solving problems | B: They favor some employees' suggestions over others' | C: They use manipulative language to mask their irrational choices | D: They reject employees' reasonable arguments for work efficiency
2023.03.set1,7,A,B,BD,0.119,BC,0.071,0.048,True,D,True,True,A: It is a must for rational judgment | B: It is more of a sin than a virtue | C: It is a good quality in the workplace | D: It is more important now than ever
2023.03.set1,8,A,D,BD,0.066,AB,0.058,0.008,True,B,True,True,A: Smoothing relationships in the workplace | B: Making rational and productive decisions | C: Focusing on employees' career growth | D: Preserving their power and prestige
2023.03.set1,9,B,B,BD,0.060,CD,0.060,0.001,True,D,False,False,A: They show genius which defies description | B: They accomplish feats many of us cannot | C: They create very high commercial value | D: They bring great honor to their country
2023.03.set1,10,B,C,BC,0.168,AB,0.050,0.117,True,B,True,True,A: They take part in kids' extra-curricular activities | B: They work in spare time to teach children sports | C: They try to be positive role models to children | D: They serve as spokespersons for luxury goods
2023.03.set1,11,B,A,BC,0.162,AC,0.083,0.080,False,,,,A: Separating an athlete's professional life from their personal life | B: Preventing certain athletes from getting in trouble with the law | C: Keeping athletes away from drug or alcohol problems | D: Being super sports stars without appearing arrogant
2023.03.set1,12,B,A,AD,0.079,BD,0.073,0.006,True,D,True,True,A: They always cost more than expected | B: They are joyous and exciting occasions | C: They should be paid up by the attendees | D: They are dreams coming true to the brides
2023.03.set1,13,B,B,BD,0.088,CD,0.046,0.042,True,D,True,True,"A: It cost $60,000 | B: It was cancelled | C: It had eight guests only | D: It was held in Las Vegas"
2023.03.set1,14,B,C,AC,0.061,AB,0.053,0.008,True,A,True,False,A: Postpone her wedding | B: Ask her friends for help | C: Keep to her budget | D: Invite more guests
2023.03.set1,15,B,D,AD,0.094,BD,0.079,0.016,True,A,False,False,A: She called it romantic | B: She welcomed it with open arms | C: She said she would think about it | D: She rejected it flatly
2023.03.set1,16,C,D,BD,0.289,AD,0.266,0.024,True,B,False,False,A: It determines people's moods | B: It can impact people's wellbeing | C: It is closely related to people's emotions | D: It can influence people's personalities
2023.03.set1,17,C,C,BD,0.210,AB,0.093,0.117,False,,,,A: They make people more reproductive | B: They increase people's life expectancy | C: They tend to produce positive feelings | D: They may alter people's genes gradually
2023.03.set1,18,C,A,BC,0.259,AC,0.148,0.112,False,,,,A: The link between temperature and personality is fairly weak | B: People share many personality traits despite their nationalities | C: People in the same geographical area may differ in personality | D: The Americans are apparently more outgoing than the Chinese
2023.03.set1,19,C,B,AD,0.150,BC,0.142,0.008,False,,,,A: The number of older Americans living alone is on the rise | B: Chronic loneliness does harm to senior citizens in particular | C: Correlations have been found between loneliness and ill health | D: A growing number of US seniors face the risk of early mortality
2023.03.set1,20,C,D,BD,0.223,AD,0.210,0.014,True,B,True,True,A: Medication is available for treating loneliness | B: Loneliness rarely results from living alone | C: Being busy helps fight loneliness | D: Loneliness is probably reversible
2023.03.set1,21,C,C,BC,0.265,BD,0.065,0.201,True,B,True,False,A: Living with one's children | B: Meeting social expectations | C: Meaningful social contact | D: Timely medical intervention
2023.03.set1,22,C,A,CD,0.050,AD,0.049,0.001,False,,,,A: She had a successful career in finance | B: She wrote stories about women travelers | C: She made regular trips to Asian countries | D: She invested in several private companies
2023.03.set1,23,C,B,CD,0.211,AD,0.056,0.156,False,,,,A: Buy a ranch | B: Start a blog | C: Travel round the world | D: Set up a travel agency
2023.03.set1,24,C,D,BC,0.147,CD,0.054,0.093,False,,,,A: Work hard to attract attention from publishers | B: Gain support from travel advertising companies | C: Try to find a full-time job in the travel business | D: Create something unique to enter the industry
2023.03.set1,25,C,C,AD,0.046,CD,0.043,0.002,False,,,,A: Attracting sufficient investment | B: Creating an exotic corporate culture | C: Avoiding too much advertising early on | D: Refraining from promoting similar products
2023.06.set1,1,A,B,CD,0.117,AD,0.104,0.012,False,,,,A: It was spacious and tranquil | B: It was warm and comfortable | C: It was shabby and solitary | D: It was tiny and noisy
2023.06.set1,2,A,B,AD,0.130,BC,0.065,0.065,False,,,,A: She no longer hates people talking loudly in the dorm | B: She misses her roommates she used to complain about | C: She begins to enjoy the movies she once found irritating | D: She finds the crowded dorm as cozy as her new apartment
2023.06.set1,3,A,C,BC,0.276,AD,0.054,0.223,True,B,True,False,A: He found the apartment perfectly furnished | B: He had a feeling of despair and frustration | C: He had a similar feeling to the woman's | D: He felt the new place was like paradise
2023.06.set1,4,A,A,AD,0.521,AC,0.076,0.445,True,D,True,False,A: Go to see the woman's apartment | B: Make a phone call to his parents | C: Buy some furniture for the woman | D: Decorate the woman's apartment
2023.06.set1,5,A,D,CD,0.080,BC,0.048,0.031,True,C,True,False,A: He works as a literary critic | B: He hosts an educational program | C: He has initiated a university reform | D: He has published a book recently
2023.06.set1,6,A,C,AB,0.158,CD,0.084,0.075,False,,,,A: It fails to keep up with the radical changes of society | B: It fails to ensure universities get sufficient resources | C: It has not prepared young people for the job market | D: It has not fostered the growth of the arts disciplines
2023.06.set1,7,A,A,CD,0.322,BC,0.083,0.239,False,,,,A: More of the budget should go to science and technology | B: The underfunded music discipline should be prioritized | C: Subdisciplines like sculpture should get more funding | D: Literature should get as much funding as engineering
2023.06.set1,8,A,D,AB,0.061,CD,0.046,0.015,False,,,,A: Build a prosperous nation | B: Make skilled professionals | C: Create ingenious artists | D: Cultivate better citizens
2023.06.set1,9,B,A,AB,0.069,AD,0.052,0.017,True,B,True,False,A: It is quite common | B: It is rarely noticed | C: It seldom annoys people | D: It occurs when one is alone
2023.06.set1,10,B,B,AB,0.057,CD,0.045,0.013,True,A,False,True,A: Seeing things in black and white | B: Engaging in regular contemplation | C: Having a special understanding of creativity | D: Knowing how to make their mental batteries work
2023.06.set1,11,B,D,BD,0.207,AB,0.073,0.135,True,B,False,False,A: Engaging in intense activity | B: Fantasizing in one's down time | C: Working on a particular project | D: Reflecting during one's relaxation
2023.06.set1,12,B,C,BC,0.192,CD,0.160,0.032,True,B,True,False,A: Farmers helped Native Americans grow crops | B: There were expansive university campuses | C: There existed post offices | D: Migrants found gold there
2023.06.set1,13,B,D,AD,0.064,AC,0.062,0.003,True,A,False,False,A: It helped to boost the economy in the American West | B: It provided job opportunities for many gold seekers | C: It extended the influence of the federal government | D: It kept people in the deserts and plains connected
2023.06.set1,14,B,B,AC,0.074,AB,0.060,0.014,False,,,,A: It employed Native Americans to work as postmen | B: It commissioned private wagons to carry the mail | C: It subsidized the locals who acted as postmasters | D: It centralized postal services in its remote areas
2023.06.set1,15,B,C,CD,0.159,BD,0.064,0.095,True,D,False,False,A: He analyzed interactive maps of mail routes | B: He read a large collection of books on the topic | C: He examined its historical trends with data science | D: He collected data about its impact on local business
2023.06.set1,16,C,A,BC,0.196,AD,0.168,0.029,False,,,,A: Higher levels of anxiety may improve people's memory | B: Some experiences are easier to remember than others | C: Most people tend to remember things selectively | D: Simple things may leave a deep impression on one's memory
2023.06.set1,17,C,C,AC,0.285,AD,0.271,0.014,True,A,False,False,A: They classified the participants' mindset | B: They showed some photos to the participants | C: They measured the participants' anxiety levels | D: They tested the size of the participants' vocabulary
2023.06.set1,18,C,B,BD,0.219,AC,0.211,0.008,True,D,False,False,A: Anxiety has become a serious problem for an increasing number of people | B: Extreme levels of anxiety can adversely affect cognitive performance | C: People diagnosed with anxiety disorder may forget things selectively | D: There is no direct correlation between memory and levels of anxiety
2023.06.set1,19,C,A,BD,0.158,AB,0.060,0.099,False,,,,A: They compare products from different companies before making a choice | B: They get information from other consumers' postings and comments | C: They lose patience when their phone call is no promptly answered | D: They expect to get instantaneous responses to their inquiry
