key,parse_file,question,section,unit,snippet
2022.12.set1,2022.12六级真题第1套答案及详解.pdf,2,A,Conversation Questions 1-4,"n five months. W: Of course I've started it, but I can't get to the writing yet as I haven't found enough resources to use, so I'm still researching the topic. M: Maybe the problem is the way you're doing your research. (2)I started by talking to my professor about where to look for information. And based on that, I found books in the library and a lot of reputable journal articles on the Internet. W: I've tried all that, but don't have enough to write the dissertation as my department's minimum length is 70 pages. I think the problem is that my topic isn't viable. (3)And honestly, my professor did warn me at the beginning that I might"
2022.12.set1,2022.12六级真题第1套答案及详解.pdf,3,A,Conversation Questions 1-4,"ot of reputable journal articles on the Internet. W: I've tried all that, but don't have enough to write the dissertation as my department's minimum length is 70 pages. I think the problem is that my topic isn't viable. (3)And honestly, my professor did warn me at the beginning that I might not be able to find enough material. But I was so interested in the topic that I didn't let his advice to turn me. M: Well, I suggest you find a new topic. After all, our professors are here to guide us, so it's best to listen to them. W: In retrospect, I wish I had listened to him, but I didn't. And now I don't want to give up my topic as I've alre"
2022.12.set1,2022.12六级真题第1套答案及详解.pdf,6,A,Conversation Questions 5-8,"odest of you to say, (5-2)considering that your four books have sold a total of seven million copies worldwide, and they've been translated into 12 different languages. What makes people so fascinated with your work? M: (6) Well, people read my books because more than 60% of Americans are overweight or obese. And other countries are facing similar problems. Basically, we all want to know how to fix things. 22年12月六级真题第1套详解第2页，共15页 W: We certainly do. I've read your new book and it's fabulous, especially when it comes to the way you make difficult science easy for laymen to understand. That's no small achievement. M: I'm glad to hear y"
2022.12.set1,2022.12六级真题第1套答案及详解.pdf,7,A,Conversation Questions 5-8,"n to understand. That's no small achievement. M: I'm glad to hear you find my work accessible, because I was worried when I wrote it that discussing the science might make the book more suited for a specialist audience. (7)My last book was written primarily for the medical community. But this time, I want to help ordinary people take control of their weight. W: And how do you suggest they do that? Can you give us the basics of your advice for people who want to lose weight? M: Briefly, (8)I argue that every person needs to consider their metabolism and eat what suits their body's needs. I don't advocate one single diet. Some people sho"
2022.12.set1,2022.12六级真题第1套答案及详解.pdf,8,A,Conversation Questions 5-8,"al community. But this time, I want to help ordinary people take control of their weight. W: And how do you suggest they do that? Can you give us the basics of your advice for people who want to lose weight? M: Briefly, (8)I argue that every person needs to consider their metabolism and eat what suits their body's needs. I don't advocate one single diet. Some people should eat more carbohydrates than others. And different people need different amounts of protein and fat. W: But you do have some recommendations for everyone, including eating ten servings of vegetables and three of fruit a day. We'll talk about those recommendations next"
2022.12.set1,2022.12六级真题第1套答案及详解.pdf,9,B,Passage Questions 9-11,"t research shows that moderate amounts of it can be beneficial for your brain and your body. First, the benefits for the brain. Studies have shown that short periods of stress can actually bolster cognitive functioning. (9)Researchers discovered that placing rats in a stressful situation for just a few hours doubled the growth of new brain cells. The rats also did better on a memory test later on. Scientists think the multiply, your memory can improve. Viewed from a biological perspective, this makes sense, (1o) because animals that are better at remembering dangerous situations can avoid them in the future. If an animal encounters a p"
2022.12.set1,2022.12六级真题第1套答案及详解.pdf,11,B,Passage Questions 9-11,"ter happened. Experts assert that the same principle applies to humans. Now, let's turn to how stress benefits the body. This may come as a surprise to laymen. But experts say that stress can keep you from getting sick. (11)Scientists concede that chronic stress can make you more prone to illness. But research shows that short periods of stress can actually provide some protection against getting sick, because it increases your immune functioning. One study shows that rats that experienced brief stress had a surge of immune cell response, which makes the immune system better prepared to fight illness. For humans, there's even evidence t"
2022.12.set1,2022.12六级真题第1套答案及详解.pdf,12,B,Passage Questions 12-15,"Questions 12 to 15 are based on the passage you have just heard. (12) For many managers and people who work in leadership positions, dealing with emails is a dilemma. It's likely the unpredictable, uncontrollable and ongoing nature of day-to-day email in terms of volume, importance and urgency contributes to their levels of anxiety and to diminished leadership skills. That's because it's not unusual for many leaders to prioritize email management over people management. An obsession w"
2022.12.set1,2022.12六级真题第1套答案及详解.pdf,13,B,Passage Questions 12-15,"minished leadership skills. That's because it's not unusual for many leaders to prioritize email management over people management. An obsession with managing their inbox prevents them from dealing with their employees. (13)As a result, they ignore the issues that might only be mild problems at first, until unfortunately, they inevitably transform into a major problem or crisis by virtue of neglect. (14)As leaders, they are expected to motivate and inspire their team in pursuit of longer term strategic goals and also, less ambitiously but more practically, to monitor their daily output, to set clear expectations, and to give regular fee"
2022.12.set1,2022.12六级真题第1套答案及详解.pdf,14,B,Passage Questions 12-15,"m from dealing with their employees. (13)As a result, they ignore the issues that might only be mild problems at first, until unfortunately, they inevitably transform into a major problem or crisis by virtue of neglect. (14)As leaders, they are expected to motivate and inspire their team in pursuit of longer term strategic goals and also, less ambitiously but more practically, to monitor their daily output, to set clear expectations, and to give regular feedback. When presented with a choice between the appeal of their inbox and other more important activities, many sacrifice the latter. Daily email demands have a negative impact on the"
2022.12.set1,2022.12六级真题第1套答案及详解.pdf,15,B,Passage Questions 12-15,"important activities, many sacrifice the latter. Daily email demands have a negative impact on their goal progress. This is because leaders must divert resources from other tasks to check, filter and respond to emails. (15)The solution is cultivating self-control which is like a muscle it can be strengthened or improved over time through exercise. Some suggestions include making space in your diary for the only periods during which you'll be checking emails, setting a timer for yourself so you don't become distracted by your inbox for too long, turning off email alerts so you're not interrupted by them."
2022.12.set1,2022.12六级真题第1套答案及详解.pdf,16,C,Recording Questions 16-18,"how medical professionals are trying to solve these problems. Today, we'll continue with the topic, but focus on research from a different fieldmarketing. Now, what can marketing tell us about improving nutrition? Well, (16)a team of marketing professors has studied the importance of the visual aspect of food and how that influences food choices. presume, and might hold the key to encouraging better eating. So how important is the appearance of food? Research shows that just seeing an appealing photograph of a hamburger in an advertisement, for example, 22年12月六级真题第1套详解第4页，共15页 can cause individuals to imagine the taste or smell of tha"
2022.12.set1,2022.12六级真题第1套答案及详解.pdf,17,C,Recording Questions 16-18,"and easy access to unhealthy foods, such as hamburgers and pizza, may be contributing to a worldwide health crisis. In fact, statistics show that 39% of all adults in the world weigh too much and another 13% are obese. (17)Now, as we discussed last time, medical professionals have tried to fight the obesity epidemic by focusing on the nutrients found in different foods, emphasizing things like carbohydrate, fat, sugar and calorie content. But they've had limited success. The marketing professors believe that the real solution to obesity is making food look appealing and focusing on the pleasure of both looking at and eating that food."
2022.12.set1,2022.12六级真题第1套答案及详解.pdf,18,C,Recording Questions 16-18,"d the pleasure derived from eating them. For example, the ads focused on the bright, beautiful orange color and crisp texture of the carrots. The campaign led to an impressive increase in product sales of more than 10%. (18)The researchers believe that other companies could bolster sales of healthy foods with similar ads, depicting their products as attractive and a source of pleasure."
2022.12.set1,2022.12六级真题第1套答案及详解.pdf,19,C,Recording Questions 19-21,"elied on substances that they used in their kitchens such as vinegar used to clean windows. Today, the household cleaning products industry is worth billions of dollars a year and is dominated by large global companies. (19)In recent years, however, many countries have witnessed a surge in the number of small businesses and companies offering more environment-friendly cleaning products, and they're doing good business, too. One reason for this is that consumers are becoming more aware of environment and sustainability issues. They also knowledge about technology has never been greater. (20) In the past, people might have been skeptical"
2022.12.set1,2022.12六级真题第1套答案及详解.pdf,20,C,Recording Questions 19-21,"eaning products, and they're doing good business, too. One reason for this is that consumers are becoming more aware of environment and sustainability issues. They also knowledge about technology has never been greater. (20) In the past, people might have been skeptical of a new product claimed to be able to achieve amazing cleaning results, but they now have faith in technology's ability to do what was once thought impossible. There is perhaps no better example of this than a patented cloth sold by one company, which remarkably uses only water rather than traditional cleaning products. The company claims its cloth lifts, traps and remo"
2022.12.set1,2022.12六级真题第1套答案及详解.pdf,21,C,Recording Questions 19-21,"shops, or advertised on TV or in the press, it has been a pretty steep rise. Many of the people behind these companies began testing the viability of their products by selling them at local markets. Then, in many cases, (21)customers are doing the marketing for these products by leaving threads of comments on social media, praising their virtues. There are also TV shows and books dedicated to maintaining home tidiness and cleanliness and the benefits of having a clean home. Having a safe and clean home might be one thing people 22年12月六级真题第1套详解第5页，共15页 feel they can control in an increasingly out-of-control world. And there are social"
2022.12.set1,2022.12六级真题第1套答案及详解.pdf,22,C,Recording Questions 22-25,"to 25 are based on the recording you have just heard. Throwing spare change into a fountain is a time-honored ritual: throw a penny into the water, and your wish might come true. But all that money has to go somewhere. (22)Otherwise, the growing piles of pennies, quarters and euros could clog up the fountain's works. Today, I'm going to talk about where all the coins go. Well, the coins collected can go to all sorts of different places-from fountain maintenance to charity or public service. (23) In New York City, for example, coins collected from fountains in public parks often go towards the fountains' maintenance itself, though entre"
2022.12.set1,2022.12六级真题第1套答案及详解.pdf,23,C,Recording Questions 22-25,"euros could clog up the fountain's works. Today, I'm going to talk about where all the coins go. Well, the coins collected can go to all sorts of different places-from fountain maintenance to charity or public service. (23) In New York City, for example, coins collected from fountains in public parks often go towards the fountains' maintenance itself, though entrepreneurs who don't mind getting their hands wet often cleaned by the parks' staff every few weeks. But most of the coins have already been removed by entrepreneurial New Yorkers and there is not a significant amount left to be collected. Other cities, though, can pull in a muc"
2022.12.set1,2022.12六级真题第1套答案及详解.pdf,24,C,Recording Questions 22-25,"Rome's famous Trevi fountain: for hundreds of years, visitors have thrown coins over their shoulder into the fountain to ensure that reportedly getting as much as $ 4,000 in loose change from around the world each day. (24) Most of the money collected each night goes towards running a supermarket for the needy. And collecting that cash is serious one case in 2005, police arrested four fountain cleaners after they were spotted slipping coins into their own pockets after collecting them. (25) Authorities finally caught one notorious thief named Thomas Morgan and banned him from the fountain after he fished out thousands of dollars in cha"
2022.12.set1,2022.12六级真题第1套答案及详解.pdf,25,C,Recording Questions 22-25,"ards running a supermarket for the needy. And collecting that cash is serious one case in 2005, police arrested four fountain cleaners after they were spotted slipping coins into their own pockets after collecting them. (25) Authorities finally caught one notorious thief named Thomas Morgan and banned him from the fountain after he fished out thousands of dollars in change over 34 years using a magnetic stick. For the most part, money collected from privately-owned fountains in the United States also goes to which puts the cash collected by cleaners towards the fountain's own maintenance. Tens of thousands of dollars in coins removed fr"
2022.12.set2,2022.12六级真题第2套答案及详解.pdf,1,A,Conversation Questions 1-4,"elcome to the Book Club. Today's guest is Susan Lane, the author of a new book on personal finances that has already sold half a million copies. Hi, Susan, your book is extremely successful. Why do you think that is? W: (1)I think that's because of my message, which is making happiness a priority over money. So many of us in my generation have spent decades trying to earn more money, just to consume more, but it made us more miserable. M: (2-1)You yourself were once caught in that cycle, working for two decades as an executive and earning a high salary, but still accumulating debt. W: (2-2)I most certainly was. I earned millions, but b"
2022.12.set2,2022.12六级真题第2套答案及详解.pdf,3,A,Conversation Questions 1-4,"cape that pattern? And what would you advise other people to do? W: The first change is in what we value. We need to emphasize things that actually make us happy, like relationships, the environment or even our hobbies. (3)Once we make the right things our priority, our goals will change and so will our financial behavior. M: How does that translate into practical action? Can you give our audience examples of what you are talking about on an everyday basis? W: The major areas for action are usually housing, food and transportation. So people might share a home with friends instead of living on their own, bring lunch from home instead o"
2022.12.set2,2022.12六级真题第2套答案及详解.pdf,4,A,Conversation Questions 1-4,"lly housing, food and transportation. So people might share a home with friends instead of living on their own, bring lunch from home instead of going to restaurants, and use public transport instead of owning a car. M: (4) Those sound like major sacrifices. I could never share my home. I need my own space. W: But they aren't sacrifices. When people change their values, their desires change. So in the example of housing, if we value relationships, sharing a home isn't depriving ourselves of space, but giving us an opportunity to spend more time with our loved ones. M: Indeed it is."
2022.12.set2,2022.12六级真题第2套答案及详解.pdf,5,A,Conversation Questions 5-8,"edecessor's retirement functioned. M: Would you like to see the newest additions to our collection first, Catherine? 22年12月六级第2套详解第2页，共15页 W: Are those the landscapes by Daniel Gregory? I absolutely adore her work. M: (5)This first piece was a gift to the gallery from the artist herself, and it's quite exquisite. W: I love how she depicts the baren landscape. The colors complement each other perfectly. M: You can sense the desolation in the picture. This piece was inspired by Gregory's recent trek in the Gobi Desert. W: And how did you obtain her other piece, over here? M: (6) It was purchased at auction by an anonymous collector who"
2022.12.set2,2022.12六级真题第2套答案及详解.pdf,6,A,Conversation Questions 5-8,". The colors complement each other perfectly. M: You can sense the desolation in the picture. This piece was inspired by Gregory's recent trek in the Gobi Desert. W: And how did you obtain her other piece, over here? M: (6) It was purchased at auction by an anonymous collector who lent it to the gallery for display. This composition is one of her most acclaimed paintings. W: It must have cost that collector a small fortune to purchase this. M: Obviously. I can't disclose the exact amount he paid, but it was substantial. W: (7) There's so much detail in this painting. I feel like I can really immerse myself in the scene. I particularly"
