file,question_number,statement,answer_letter,answer_paragraph,paragraph_position_pct,paragraph_index,paragraph_count,paragraph_text_preview,method
2022.06六级真题第2套【可复制可搜索，打印首选】.pdf,43,"People began to consider preserving natural resources when they feared they would
have nothing to use in the future.",A,A,4.55,1,11,"In the long view, the human relationship with forests has been one of brutal destruction,
but even it carries elements of slow hope. In the ",heuristic
2022.06六级真题第2套【可复制可搜索，打印首选】.pdf,44,"If we doubt our ability to reverse ecological deterioration, we are throwing away the
chance to take action.",J,J,86.36,10,11,"It is time that we showed successes and accelerations in ecological awareness, action
and restoration: stories that include past successes a",heuristic
2022.06六级真题第2套【可复制可搜索，打印首选】.pdf,45,"How to respond effectively to climate change has become the focus of international
diplomacy.
2022年6月英语六级真题第2套 第 4 页 共 8",G,G,59.09,7,11,"The current crisis is not the first that humans have encountered, and a look at the
struggles with pollution in recent history reveals trans",heuristic
2022.06六级真题第3套【可复制可搜索，打印首选】.pdf,36,Climate change has wrought havoc on the lives of tens of thousands of people.,F,F,50.0,6,11,"Social and environmental activists, scientists and indigenous groups have called the
Paris Agreement of the United Nations Climate Change Co",heuristic|source:2022.06六级真题第2套【可复制可搜索，打印首选】.pdf
2022.06六级真题第3套【可复制可搜索，打印首选】.pdf,37,"It took scientists a long time to realise that the function of forests goes far beyond
providing humans with timber.",B,B,13.64,2,11,"Economic interests were at the core of this understanding of trees and forests. It would
take more than three centuries before scientists be",heuristic|source:2022.06六级真题第2套【可复制可搜索，打印首选】.pdf
2022.06六级真题第3套【可复制可搜索，打印首选】.pdf,38,There is abundant evidence that we are now facing a possible ecological disaster.,H,H,68.18,8,11,"Scientific evidence that we are living in an era of climate change, resource exhaustion
and potential ecological disaster is overwhelming. H",heuristic|source:2022.06六级真题第2套【可复制可搜索，打印首选】.pdf
2022.06六级真题第3套【可复制可搜索，打印首选】.pdf,39,Environmental science became academic disciplines only some sixty years ago.,D,D,31.82,4,11,"Awareness of ecologies is a recent phenomenon. It was not until the 1940s that the
concept of the ""environment"" embracing all living and non",heuristic|source:2022.06六级真题第2套【可复制可搜索，打印首选】.pdf
2022.06六级真题第3套【可复制可搜索，打印首选】.pdf,40,"Things cannot change overnight, but reducing the consumption of natural resources will
help solve the ecological crisis.",K,K,95.45,11,11,"Today9s saving powers will not come from a deus ex machina (解围之 4中).In an
ever-more complex and synthetic world, our saving powers won't com",heuristic|source:2022.06六级真题第2套【可复制可搜索，打印首选】.pdf
2022.06六级真题第3套【可复制可搜索，打印首选】.pdf,41,Human perception of forests has undergone a tremendous change in the past years.,C,C,22.73,3,11,"Recent years have seen a big change in our view of forests. Peter Wohlleben's book The
Hidden Life of Trees (2015), an international bestsel",heuristic|source:2022.06六级真题第2套【可复制可搜索，打印首选】.pdf
2022.06六级真题第3套【可复制可搜索，打印首选】.pdf,42,"Recent history shows reduction of pollution, once seemingly impossible, can actually
be accomplished.",G,G,59.09,7,11,"The current crisis is not the first that humans have encountered, and a look at the
struggles with pollution in recent history reveals trans",heuristic|source:2022.06六级真题第2套【可复制可搜索，打印首选】.pdf
2022.06六级真题第3套【可复制可搜索，打印首选】.pdf,43,"People began to consider preserving natural resources when they feared they would
have nothing to use in the future.",A,A,4.55,1,11,"In the long view, the human relationship with forests has been one of brutal destruction,
but even it carries elements of slow hope. In the ",heuristic|source:2022.06六级真题第2套【可复制可搜索，打印首选】.pdf
2022.06六级真题第3套【可复制可搜索，打印首选】.pdf,44,"If we doubt our ability to reverse ecological deterioration, we are throwing away the
chance to take action.",J,J,86.36,10,11,"It is time that we showed successes and accelerations in ecological awareness, action
and restoration: stories that include past successes a",heuristic|source:2022.06六级真题第2套【可复制可搜索，打印首选】.pdf
2022.06六级真题第3套【可复制可搜索，打印首选】.pdf,45,"How to respond effectively to climate change has become the focus of international
diplomacy.
2022年6月英语六级真题第2套 第 4 页 共 8",G,G,59.09,7,11,"The current crisis is not the first that humans have encountered, and a look at the
struggles with pollution in recent history reveals trans",heuristic|source:2022.06六级真题第2套【可复制可搜索，打印首选】.pdf
2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf,36,Employers attach more importance to applicants' computer skills than their language competence.,K,K,95.45,11,11,"""Our world is shrinking but its problems are really growing,"" says ACTFL National Language Teacher
of the Year Ted Zarrow, who teaches high ",heuristic
2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf,37,"One U.S. state senator proposed that high school students be allowed to study either foreign language
or computer coding.",E,E,40.91,5,11,"""I think the opportunity to give people a choice is important,"" says Florida state Senator Jeremy Ring,
who introduced a bill last year that",heuristic
2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf,38,"Learning languages broadens students' international perspective and nurtures mutual respect among
peoples, according to a high school language teacher.",K,K,95.45,11,11,"""Our world is shrinking but its problems are really growing,"" says ACTFL National Language Teacher
of the Year Ted Zarrow, who teaches high ",heuristic
2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf,39,One U.S. state will see to it that programming classes are taught by quality teachers.,G,G,59.09,7,11,"A Kentucky bill similar to the one in Florida was met with complaints from educators, and was then
amended to promote computer science educa",heuristic
2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf,40,"Statistics show while computer-related jobs have been on the rise, foreign languages have become less
第5页
appealing to American students since mid-1990s.",D,D,31.82,4,11,"According to the 2016 U.S. News/Raytheon STEM Index, computer science jobs have helped boost
wages in the U.S., and computer-related jobs ho",heuristic
2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf,41,All school subjects are said to be essential to students' well-rounded development.,H,H,68.18,8,11,"Texas passed a bill in 2013 that allows students to substitute computer coding only after they have
attempted and performed poorly in a fore",heuristic
2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf,42,"There is consensus among most educators that coding should be taught in schools but should not replace
foreign language.",B,B,13.64,2,11,"There's a debate over whether it's appropriate to teach coding in elementary schools, with fierce
opinions on each side. When it comes to al",heuristic
2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf,43,One study showed that foreign language learning improved students' academic performance.,J,J,86.36,10,11,"Studies show that bilingualism (~lC~) correlates with cognitive development, intelligence, memory
and problem solving abilities, according t",heuristic
2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf,44,"Being short of funding and qualified teachers, schools lag behind the fast developing computer science
field.",C,C,22.73,3,11,"The idea is that computer programming is a language, allowing people to communicate with machines
and programs. It's the language of the 21s",heuristic
2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf,45,"A distinguished high school language teacher also believes it is advisable to start learning a foreign
language at an earlier age.",A,A,4.55,1,11,"As computer coding has become an increasingly sought-after skill, more K-12 schools are working it
into their curriculums. Some states have ",answer_key
2022.09英语六级真题第2套【可复制可搜索，打印首选】.pdf,36,Employers attach more importance to applicants' computer skills than their language competence.,K,K,95.45,11,11,"""Our world is shrinking but its problems are really growing,"" says ACTFL National Language Teacher
of the Year Ted Zarrow, who teaches high ",heuristic|source:2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf
2022.09英语六级真题第2套【可复制可搜索，打印首选】.pdf,37,"One U.S. state senator proposed that high school students be allowed to study either foreign language
or computer coding.",E,E,40.91,5,11,"""I think the opportunity to give people a choice is important,"" says Florida state Senator Jeremy Ring,
who introduced a bill last year that",heuristic|source:2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf
2022.09英语六级真题第2套【可复制可搜索，打印首选】.pdf,38,"Learning languages broadens students' international perspective and nurtures mutual respect among
peoples, according to a high school language teacher.",K,K,95.45,11,11,"""Our world is shrinking but its problems are really growing,"" says ACTFL National Language Teacher
of the Year Ted Zarrow, who teaches high ",heuristic|source:2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf
2022.09英语六级真题第2套【可复制可搜索，打印首选】.pdf,39,One U.S. state will see to it that programming classes are taught by quality teachers.,G,G,59.09,7,11,"A Kentucky bill similar to the one in Florida was met with complaints from educators, and was then
amended to promote computer science educa",heuristic|source:2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf
2022.09英语六级真题第2套【可复制可搜索，打印首选】.pdf,40,"Statistics show while computer-related jobs have been on the rise, foreign languages have become less
第5页
appealing to American students since mid-1990s.",D,D,31.82,4,11,"According to the 2016 U.S. News/Raytheon STEM Index, computer science jobs have helped boost
wages in the U.S., and computer-related jobs ho",heuristic|source:2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf
2022.09英语六级真题第2套【可复制可搜索，打印首选】.pdf,41,All school subjects are said to be essential to students' well-rounded development.,H,H,68.18,8,11,"Texas passed a bill in 2013 that allows students to substitute computer coding only after they have
attempted and performed poorly in a fore",heuristic|source:2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf
2022.09英语六级真题第2套【可复制可搜索，打印首选】.pdf,42,"There is consensus among most educators that coding should be taught in schools but should not replace
foreign language.",B,B,13.64,2,11,"There's a debate over whether it's appropriate to teach coding in elementary schools, with fierce
opinions on each side. When it comes to al",heuristic|source:2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf
2022.09英语六级真题第2套【可复制可搜索，打印首选】.pdf,43,One study showed that foreign language learning improved students' academic performance.,J,J,86.36,10,11,"Studies show that bilingualism (~lC~) correlates with cognitive development, intelligence, memory
and problem solving abilities, according t",heuristic|source:2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf
2022.09英语六级真题第2套【可复制可搜索，打印首选】.pdf,44,"Being short of funding and qualified teachers, schools lag behind the fast developing computer science
field.",C,C,22.73,3,11,"The idea is that computer programming is a language, allowing people to communicate with machines
and programs. It's the language of the 21s",heuristic|source:2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf
2022.09英语六级真题第2套【可复制可搜索，打印首选】.pdf,45,"A distinguished high school language teacher also believes it is advisable to start learning a foreign
language at an earlier age.",A,A,4.55,1,11,"As computer coding has become an increasingly sought-after skill, more K-12 schools are working it
into their curriculums. Some states have ",answer_key|source:2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf
2022.09英语六级真题第3套【可复制可搜索，打印首选】.pdf,36,Employers attach more importance to applicants' computer skills than their language competence.,K,K,95.45,11,11,"""Our world is shrinking but its problems are really growing,"" says ACTFL National Language Teacher
of the Year Ted Zarrow, who teaches high ",heuristic|source:2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf
2022.09英语六级真题第3套【可复制可搜索，打印首选】.pdf,37,"One U.S. state senator proposed that high school students be allowed to study either foreign language
or computer coding.",E,E,40.91,5,11,"""I think the opportunity to give people a choice is important,"" says Florida state Senator Jeremy Ring,
who introduced a bill last year that",heuristic|source:2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf
2022.09英语六级真题第3套【可复制可搜索，打印首选】.pdf,38,"Learning languages broadens students' international perspective and nurtures mutual respect among
peoples, according to a high school language teacher.",K,K,95.45,11,11,"""Our world is shrinking but its problems are really growing,"" says ACTFL National Language Teacher
of the Year Ted Zarrow, who teaches high ",heuristic|source:2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf
2022.09英语六级真题第3套【可复制可搜索，打印首选】.pdf,39,One U.S. state will see to it that programming classes are taught by quality teachers.,G,G,59.09,7,11,"A Kentucky bill similar to the one in Florida was met with complaints from educators, and was then
amended to promote computer science educa",heuristic|source:2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf
2022.09英语六级真题第3套【可复制可搜索，打印首选】.pdf,40,"Statistics show while computer-related jobs have been on the rise, foreign languages have become less
第5页
appealing to American students since mid-1990s.",D,D,31.82,4,11,"According to the 2016 U.S. News/Raytheon STEM Index, computer science jobs have helped boost
wages in the U.S., and computer-related jobs ho",heuristic|source:2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf
2022.09英语六级真题第3套【可复制可搜索，打印首选】.pdf,41,All school subjects are said to be essential to students' well-rounded development.,H,H,68.18,8,11,"Texas passed a bill in 2013 that allows students to substitute computer coding only after they have
attempted and performed poorly in a fore",heuristic|source:2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf
2022.09英语六级真题第3套【可复制可搜索，打印首选】.pdf,42,"There is consensus among most educators that coding should be taught in schools but should not replace
foreign language.",B,B,13.64,2,11,"There's a debate over whether it's appropriate to teach coding in elementary schools, with fierce
opinions on each side. When it comes to al",heuristic|source:2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf
2022.09英语六级真题第3套【可复制可搜索，打印首选】.pdf,43,One study showed that foreign language learning improved students' academic performance.,J,J,86.36,10,11,"Studies show that bilingualism (~lC~) correlates with cognitive development, intelligence, memory
and problem solving abilities, according t",heuristic|source:2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf
2022.09英语六级真题第3套【可复制可搜索，打印首选】.pdf,44,"Being short of funding and qualified teachers, schools lag behind the fast developing computer science
field.",C,C,22.73,3,11,"The idea is that computer programming is a language, allowing people to communicate with machines
and programs. It's the language of the 21s",heuristic|source:2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf
2022.09英语六级真题第3套【可复制可搜索，打印首选】.pdf,45,"A distinguished high school language teacher also believes it is advisable to start learning a foreign
language at an earlier age.",A,A,4.55,1,11,"As computer coding has become an increasingly sought-after skill, more K-12 schools are working it
into their curriculums. Some states have ",answer_key|source:2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf
2022年12月英语六级真题第1套.pdf,36,Wardian regards the various extraordinary challenges as a test of his physical endurance.,G,G,59.09,7,11,"Wardian started saving for the trip in 2014, connecting with sponsors and getting approval from his wife,
Jennifer, before committing. Regis",heuristic
2022年12月英语六级真题第1套.pdf,37,Wardian hopes his participation in the seven-day marathon series will contribute to a worthy cause.,I,I,77.27,9,11,"Instead, 43-year-old Petr Vabrousek, an elite Czech Ironman champion, is expected to be Wardian's
closest challenger. To others on the trip,",heuristic
2022年12月英语六级真题第1套.pdf,38,Wardian is going to join over thirty other runners in a week-long marathon series.,K,K,95.45,11,11,"But in some ways, Wardian still has trouble thinking of himself as a runner. For the majority of his
childhood, Wardian devoted his energy t",heuristic
2022年12月英语六级真题第1套.pdf,39,Over-exertion in extreme cold can lower one's body temperature to a dangerous point.,C,C,22.73,3,11,"""I like to do stuff that scares me,"" Wardian said. With ice frozen to his beard, Wardian crossed the finish
line that April afternoon in a w",heuristic
2022年12月英语六级真题第1套.pdf,40,Wardian was very much impressed by a race director's sense of adventure.,F,F,50.0,6,11,"Something about the way Richard Donovan carried himself appealed to Wardian. Perhaps it was the sense
of adventure Donovan displayed when th",heuristic
2022年12月英语六级真题第1套.pdf,41,"Once Wardian sets his mind on something, he is determined to make it happen.",K,K,95.45,11,11,"But in some ways, Wardian still has trouble thinking of himself as a runner. For the majority of his
childhood, Wardian devoted his energy t",heuristic
2022年12月英语六级真题第1套.pdf,42,One top American marathoner quit his running career because of his physical condition.,E,E,40.91,5,11,"An elite ultra-runner, Wardian has his sights on breaking the event's record average marathon time of
3:32: 25 set last January by U. S. Mar",heuristic
2022年12月英语六级真题第1套.pdf,43,"To many of the week-long marathon participants, completing the race will be a success in itself.",D,D,31.82,4,11,"In a few days, Wardian will once again compete in an unfamiliar territory and below-freezing
temperatures. He will line up Monday in Antarct",heuristic
2022年12月英语六级真题第1套.pdf,44,"For Wardian, the marathon in the Arctic was more about how to triumph over the extreme cold.
2022年12月英语六级真题第1套 第 5 页,共 8 页",H,H,68.18,8,11,"Since turning it into an organized event in 2015, Donovan has attracted a variety of runners. This year's
2022年12月英语六级真题第1套 第 4 页,共 8 页
chal",heuristic
2022年12月英语六级真题第1套.pdf,45,"To participate in the seven-day marathon series, Wardian had to raise a lot of money and have his wife's
support.",F,F,50.0,6,11,"Something about the way Richard Donovan carried himself appealed to Wardian. Perhaps it was the sense
of adventure Donovan displayed when th",heuristic
2022年12月英语六级真题第2套.pdf,36,A new study found parents' aversion to certain animals would pass on to their children.,A,A,4.55,1,11,"What do we lose when natural spaces and species disappear? Increasingly, research has shown that as
species and ecosystems vanish, it also c",answer_key
2022年12月英语六级真题第2套.pdf,37,The disappearance of species and ecological systems erodes our ability to keep what is left.,A,A,4.55,1,11,"What do we lose when natural spaces and species disappear? Increasingly, research has shown that as
species and ecosystems vanish, it also c",heuristic
2022年12月英语六级真题第2套.pdf,38,A study showed that the wildest areas of Discovery Park appealed most to the public.,A,A,4.55,1,11,"What do we lose when natural spaces and species disappear? Increasingly, research has shown that as
species and ecosystems vanish, it also c",answer_key
2022年12月英语六级真题第2套.pdf,39,The fear of living organisms is becoming more worrisome.,C,C,22.73,3,11,"At best this can be termed ""the extinction of experience,"" where our cultural and natural histories fade
from our memories and therefore our",heuristic
2022年12月英语六级真题第2套.pdf,40,"Preventing the increase in children's fear of living creatures is also important for conserving biodiversity.
2022年12月英语六级真题第2套 第 5 页,共 8 页
harmless ones.",I,I,77.27,9,11,"Helping parents to see species around them in a new light would make a difference, too. And, of course,
maintaining support for preserving t",heuristic
2022年12月英语六级真题第2套.pdf,41,Research shows that more and deeper experience people have with nature will help save it.,K,K,95.45,11,11,"The participants reported that their most valuable experiences in the park included encountering wildlife,
walking through open spaces, expl",heuristic
2022年12月英语六级真题第2套.pdf,42,"Though humans naturally tend to avoid dangerous animals, today's children try to stay away from even
residents.",E,E,40.91,5,11,"The results were published earlier this year in the journal Biological Conservation. Lead researcher
Masashi Soga with the University of Tok",heuristic
2022年12月英语六级真题第2套.pdf,43,Development in and around Discovery Park could cause heavy losses to the park and the local,K,K,95.45,11,11,"The participants reported that their most valuable experiences in the park included encountering wildlife,
walking through open spaces, expl",heuristic
2022年12月英语六级真题第2套.pdf,44,"A large survey of school children found that their negative feelings grew as their experience with nature
diminished.",A,A,4.55,1,11,"What do we lose when natural spaces and species disappear? Increasingly, research has shown that as
species and ecosystems vanish, it also c",answer_key
2022年12月英语六级真题第2套.pdf,45,Elizabeth Lev believes increased contact with more wildlife helps conserve biodiversity.,G,G,59.09,7,11,"And that's possibly the greater threat posed by extinction of experience. Soga suggests the generational
loss-a condition previously dubbed ",heuristic
2022年12月英语六级真题第3套.pdf,36,It was not a rare occurrence that audiences behaved wildly while listening to classical music.,A,A,4.55,1,11,"In 1913, classical music sparked a riot in Paris. Igor Stravinsky was introducing his revolutionary ""Rite of
Spring"" ballet to the world, wi",heuristic
2022年12月英语六级真题第3套.pdf,37,Some high-art institutions don't actually mean it when they say they want more general audiences.,K,K,95.45,11,11,"The orchestra also continues to offer $ 25 annual memberships to Philadelphia students, who can buy
rush tickets to every concert on the sch",heuristic
2022年12月英语六级真题第3套.pdf,38,The theatre was in chaos when an unconventional ballet was first put on stage in the capital of France.,A,A,4.55,1,11,"In 1913, classical music sparked a riot in Paris. Igor Stravinsky was introducing his revolutionary ""Rite of
Spring"" ballet to the world, wi",heuristic
2022年12月英语六级真题第3套.pdf,39,"According to one critic, the audience's warm response would encourage the musicians to do a better job.",K,K,95.45,11,11,"The orchestra also continues to offer $ 25 annual memberships to Philadelphia students, who can buy
rush tickets to every concert on the sch",heuristic
2022年12月英语六级真题第3套.pdf,40,Many commenters argued for the audience enjoying classical music quietly.,A,A,4.55,1,11,"In 1913, classical music sparked a riot in Paris. Igor Stravinsky was introducing his revolutionary ""Rite of
Spring"" ballet to the world, wi",heuristic
2022年12月英语六级真题第3套.pdf,41,"What appears on the seatback screen makes it unnecessary for the audience to study the works
beforehand.",H,H,68.18,8,11,"Greenberg stressed that he doesn't want people to start respecting the music less, and he's not suggesting
that we ""dumb down"" the experienc",heuristic
2022年12月英语六级真题第3套.pdf,42,"It is generally accepted that there should be no disturbance from the audience during classical music
performance.",A,A,4.55,1,11,"In 1913, classical music sparked a riot in Paris. Igor Stravinsky was introducing his revolutionary ""Rite of
Spring"" ballet to the world, wi",heuristic
2022年12月英语六级真题第3套.pdf,43,"Higher institutions will be concerned about compromising the integrity of classical music if they have to
resort to the television medium.",K,K,95.45,11,11,"The orchestra also continues to offer $ 25 annual memberships to Philadelphia students, who can buy
rush tickets to every concert on the sch",heuristic
2022年12月英语六级真题第3套.pdf,44,Heavily discounted rush tickets help attract many young students to attend classical concerts.,K,K,95.45,11,11,"The orchestra also continues to offer $ 25 annual memberships to Philadelphia students, who can buy
rush tickets to every concert on the sch",heuristic
2022年12月英语六级真题第3套.pdf,45,The formalities of high-art theatres can intimidate some people attending a performance.,K,K,95.45,11,11,"The orchestra also continues to offer $ 25 annual memberships to Philadelphia students, who can buy
rush tickets to every concert on the sch",heuristic
2023.03英语六级真题第1套.pdf,36,"The higher rate of employment, combined with limited housing supply, did not make it any easier to buy
a house.",E,E,40.91,5,11,"In spite of all that, the strength of the recent job growth, combined with policies that have traditionally
limited housing development in t",heuristic
2023.03英语六级真题第1套.pdf,37,"One way to deal with the housing crisis is for the government to simplify approval procedures for
housing projects.",K,K,95.45,11,11,"Real estate alone will not solve the problem, of course. Transportation, too, needs to be updated and
infrastructure extended to link distan",heuristic
2023.03英语六级真题第1套.pdf,38,"Residents of the San Francisco Bay Area strongly resent the tech industry because of the economic
inequality it has contributed to.",B,B,13.64,2,11,"While the residents of most cities display pride and support for their home industries, drastic market
distortions in the San Francisco Bay ",heuristic
2023.03英语六级真题第1套.pdf,39,The fast rise in the prices of land and houses increases the economic inequality among people.,G,G,59.09,7,11,"For generations, the stability and prosperity of the American middle class has been anchored by home
ownership. Studies have consistently sh",heuristic
2023.03英语六级真题第1套.pdf,40,"San Francisco city government offered tax benefits to attract tech companies to establish operations in a
less developed area.
2023年3月英语六级真题第1套 第5页,共8页",H,H,68.18,8,11,"If contributing factors leading to housing becoming less than affordable are not resolved over multiple
generations, a small elite will cont",heuristic
2023.03英语六级真题第1套.pdf,41,Innovative solutions to social and economic problems should be introduced before it is too late.,K,K,95.45,11,11,"Real estate alone will not solve the problem, of course. Transportation, too, needs to be updated and
infrastructure extended to link distan",heuristic
2023.03英语六级真题第1套.pdf,42,"When people compare their own living standard with others', it has a greater impact on their sense of
contentment.",H,H,68.18,8,11,"If contributing factors leading to housing becoming less than affordable are not resolved over multiple
generations, a small elite will cont",heuristic
2023.03英语六级真题第1套.pdf,43,San Francisco has been found to have the biggest income gap in California between the rich and the poor.,C,C,22.73,3,11,"According to a recent study, San Francisco ranks first in California for economic difference. The average
income of the top 1% of households",heuristic
2023.03英语六级真题第1套.pdf,44,"Improved transport networks connecting the city to distant outlying areas will also help solve the housing
crisis.",K,K,95.45,11,11,"Real estate alone will not solve the problem, of course. Transportation, too, needs to be updated and
infrastructure extended to link distan",heuristic
2023.03英语六级真题第1套.pdf,45,Average incomes in the Bay Area make it virtually impossible for most tenant families to buy a home.,K,K,95.45,11,11,"Real estate alone will not solve the problem, of course. Transportation, too, needs to be updated and
infrastructure extended to link distan",heuristic
2023.03英语六级真题第2套.pdf,36,"The higher rate of employment, combined with limited housing supply, did not make it any easier to buy
a house.",E,E,40.91,5,11,"In spite of all that, the strength of the recent job growth, combined with policies that have traditionally
limited housing development in t",heuristic|source:2023.03英语六级真题第1套.pdf
2023.03英语六级真题第2套.pdf,37,"One way to deal with the housing crisis is for the government to simplify approval procedures for
housing projects.",K,K,95.45,11,11,"Real estate alone will not solve the problem, of course. Transportation, too, needs to be updated and
infrastructure extended to link distan",heuristic|source:2023.03英语六级真题第1套.pdf
2023.03英语六级真题第2套.pdf,38,"Residents of the San Francisco Bay Area strongly resent the tech industry because of the economic
inequality it has contributed to.",B,B,13.64,2,11,"While the residents of most cities display pride and support for their home industries, drastic market
distortions in the San Francisco Bay ",heuristic|source:2023.03英语六级真题第1套.pdf
